FOLDER,IN FILE,CLIP LENGTH,CHANNEL,OFFSET,DURATION,SAMPLE RATE,MANUAL ID,CONFIDENCE
../TEST/,ScreamingPiha11.wav,139.09229024943312,1,15.0,3.0,48000,Screaming Piha,0.9985
../TEST/,ScreamingPiha11.wav,139.09229024943312,1,18.0,3.0,48000,Screaming Piha,0.7835
../TEST/,ScreamingPiha11.wav,139.09229024943312,1,21.0,3.0,48000,Screaming Piha,0.9993
../TEST/,ScreamingPiha11.wav,139.09229024943312,1,24.0,3.0,48000,Screaming Piha,0.2418
../TEST/,ScreamingPiha11.wav,139.09229024943312,1,24.0,3.0,48000,Peruvian Warbling-Antbird,0.2396
../TEST/,ScreamingPiha11.wav,139.09229024943312,1,24.0,3.0,48000,Plain-winged Antshrike,0.116
../TEST/,ScreamingPiha11.wav,139.09229024943312,1,27.0,3.0,48000,Screaming Piha,0.4459
../TEST/,ScreamingPiha11.wav,139.09229024943312,1,27.0,3.0,48000,Red-throated Loon,0.3562
../TEST/,ScreamingPiha11.wav,139.09229024943312,1,30.0,3.0,48000,Screaming Piha,0.9987
../TEST/,ScreamingPiha11.wav,139.09229024943312,1,36.0,3.0,48000,Screaming Piha,0.9841
../TEST/,ScreamingPiha11.wav,139.09229024943312,1,36.0,3.0,48000,Black-faced Antthrush,0.1025
../TEST/,ScreamingPiha11.wav,139.09229024943312,1,39.0,3.0,48000,Screaming Piha,0.9943
../TEST/,ScreamingPiha11.wav,139.09229024943312,1,42.0,3.0,48000,Screaming Piha,0.2822
../TEST/,ScreamingPiha11.wav,139.09229024943312,1,45.0,3.0,48000,Screaming Piha,0.9991
../TEST/,ScreamingPiha11.wav,139.09229024943312,1,48.0,3.0,48000,Screaming Piha,0.9986
../TEST/,ScreamingPiha11.wav,139.09229024943312,1,54.0,3.0,48000,Screaming Piha,0.9155
../TEST/,ScreamingPiha11.wav,139.09229024943312,1,54.0,3.0,48000,Black Butcherbird,0.1467
../TEST/,ScreamingPiha11.wav,139.09229024943312,1,54.0,3.0,48000,Black Cuckoo,0.1012
../TEST/,ScreamingPiha11.wav,139.09229024943312,1,57.0,3.0,48000,Screaming Piha,0.9966
../TEST/,ScreamingPiha11.wav,139.09229024943312,1,60.0,3.0,48000,Screaming Piha,0.7003
../TEST/,ScreamingPiha2.wav,73.86789115646259,1,0.0,3.0,48000,Screaming Piha,0.9732
../TEST/,ScreamingPiha2.wav,73.86789115646259,1,3.0,3.0,48000,Screaming Piha,0.9994
../TEST/,ScreamingPiha2.wav,73.86789115646259,1,6.0,3.0,48000,White-necked Puffbird,0.1055
../TEST/,ScreamingPiha2.wav,73.86789115646259,1,9.0,3.0,48000,Screaming Piha,0.9958
../TEST/,ScreamingPiha2.wav,73.86789115646259,1,12.0,3.0,48000,Screaming Piha,0.9986
../TEST/,ScreamingPiha2.wav,73.86789115646259,1,15.0,3.0,48000,Screaming Piha,0.87
../TEST/,ScreamingPiha2.wav,73.86789115646259,1,18.0,3.0,48000,White-necked Puffbird,0.4074
../TEST/,ScreamingPiha2.wav,73.86789115646259,1,21.0,3.0,48000,Screaming Piha,0.9574
../TEST/,ScreamingPiha2.wav,73.86789115646259,1,24.0,3.0,48000,Screaming Piha,0.9825
../TEST/,ScreamingPiha2.wav,73.86789115646259,1,24.0,3.0,48000,Black Butcherbird,0.2834
../TEST/,ScreamingPiha2.wav,73.86789115646259,1,27.0,3.0,48000,Screaming Piha,0.735
../TEST/,ScreamingPiha2.wav,73.86789115646259,1,30.0,3.0,48000,Screaming Piha,0.998
../TEST/,ScreamingPiha3.wav,14.898684807256236,1,0.0,3.0,48000,Screaming Piha,0.5942
../TEST/,ScreamingPiha3.wav,14.898684807256236,1,0.0,3.0,48000,White-browed Scimitar-Babbler,0.1133
../TEST/,ScreamingPiha3.wav,14.898684807256236,1,3.0,3.0,48000,Screaming Piha,0.715
