,Unnamed: 0,FOLDER,IN FILE,CLIP LENGTH,CHANNEL,OFFSET,DURATION,SAMPLE RATE,MANUAL ID,CONFIDENCE,CLASS NAME
86,86,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,36.0,3.0,48000,Ramphastos tucanus,0.9287012219429016,White-throated Toucan
87,87,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,39.0,3.0,48000,Ramphastos tucanus,0.9813292026519777,White-throated Toucan
88,88,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,42.0,3.0,48000,Ramphastos tucanus,0.7920799255371094,White-throated Toucan
89,89,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,45.0,3.0,48000,Ramphastos tucanus,0.983613133430481,White-throated Toucan
90,90,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,48.0,3.0,48000,Ramphastos tucanus,0.9971976280212402,White-throated Toucan
91,91,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,51.0,3.0,48000,Ramphastos tucanus,0.9652696251869202,White-throated Toucan
92,92,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,54.0,3.0,48000,Ramphastos tucanus,0.9695967435836792,White-throated Toucan
93,93,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,57.0,3.0,48000,Ramphastos tucanus,0.9509785175323486,White-throated Toucan
94,94,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,60.0,3.0,48000,Ramphastos tucanus,0.9780808091163636,White-throated Toucan
95,95,./../all_10_species/,XC483151 - White-throated Toucan - Ramphastos tucanus cuvieri.mp3,104.928,0,63.0,3.0,48000,Ramphastos tucanus,0.9706535339355468,White-throated Toucan
