,Unnamed: 0,FOLDER,IN FILE,CLIP LENGTH,CHANNEL,OFFSET,DURATION,SAMPLE RATE,MANUAL ID,CONFIDENCE,CLASS NAME
335,335,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,27.0,3.0,48000,Xiphorhynchus guttatus,0.9060842990875244,Buff-throated Woodcreeper
336,336,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,30.0,3.0,48000,Xiphorhynchus guttatus,0.5884796380996704,Buff-throated Woodcreeper
337,337,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,33.0,3.0,48000,Xiphorhynchus guttatus,0.9773089289665222,Buff-throated Woodcreeper
338,338,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,36.0,3.0,48000,Xiphorhynchus guttatus,0.8797284364700317,Buff-throated Woodcreeper
340,340,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,42.0,3.0,48000,Xiphorhynchus guttatus,0.9804317355155944,Buff-throated Woodcreeper
342,342,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,48.0,3.0,48000,Xiphorhynchus guttatus,0.9388986825942992,Buff-throated Woodcreeper
343,343,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,51.0,3.0,48000,Xiphorhynchus guttatus,0.9824761152267456,Buff-throated Woodcreeper
346,346,./../all_10_species/,XC463707 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,61.654916666666665,0,60.0,3.0,48000,Xiphorhynchus guttatus,0.6576664447784424,Buff-throated Woodcreeper
347,347,./../all_10_species/,XC64377 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,16.4519375,0,0.0,3.0,48000,Xiphorhynchus guttatus,0.9800212979316713,Buff-throated Woodcreeper
348,348,./../all_10_species/,XC64377 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,16.4519375,0,3.0,3.0,48000,Xiphorhynchus guttatus,0.9425647854804992,Buff-throated Woodcreeper
350,350,./../all_10_species/,XC64377 - Buff-throated Woodcreeper - Xiphorhynchus guttatus.mp3,16.4519375,0,9.0,3.0,48000,Xiphorhynchus guttatus,0.8305668234825134,Buff-throated Woodcreeper
