,FILE SPECIES,PATH,START,END,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,IN FILE,LABELS
6929,Zonotrichia capensis markli,./input/cosmos_embeddings/,0.0,3.0,0.21641362,0.09608027,1.6901737,1.0048418,0.36847943,1.0881956,0.303048,0.39702815,0.58715284,0.9334513,0.21283507,1.2268846,0.9271505,0.42446673,0.58168423,0.8380517,0.26338345,1.3795633,0.54274666,1.1541629,1.2938665,0.07658404,0.18188101,0.45252335,0.34200382,1.2692587,0.20486388,0.17001069,0.6377044,0.9923183,1.6715822,0.14144248,0.6306726,1.2860457,1.1787912,0.5080748,0.4334702,1.1979373,0.19938809,0.55014545,1.6827708,0.06482135,0.19677085,0.8462307,0.24023399,0.3095107,0.3859051,0.254415,0.31360775,0.7486846,0.9306599,0.12205708,1.2888265,1.0251719,0.5805092,0.23208854,1.5797116,1.2299988,0.8791966,0.7795089,0.46508592,0.37681562,1.3996818,0.3449862,0.65532583,1.1633332,0.42459273,1.4450562,0.20912829,1.7157855,0.70006746,0.92228985,1.5423992,0.19738871,0.16000003,0.9917951,0.55859506,0.8644273,0.5773162,0.39531893,0.7330929,0.66381466,0.50793916,1.4948838,0.29074585,0.49976403,1.1708809,0.298779,0.70932186,0.75963515,0.74777955,0.39402157,0.85585713,0.6100363,1.0405668,1.2395666,0.43973994,0.0,0.11054033,2.621694,1.6313133,1.4572268,0.7523736,0.67939883,0.24300176,0.33630377,0.42218447,1.0779364,0.50277644,0.6788218,1.222163,0.73398846,0.363826,0.37313068,1.294471,0.57100034,0.09016208,0.34781736,0.36617586,0.43406463,0.59118277,0.9702465,0.5569383,0.47626,0.9141329,0.18445045,0.6906329,0.83040905,1.5511688,1.1678888,0.90025496,0.18496925,0.415806,1.178599,0.006690845,0.17091903,0.27437547,1.3796786,0.7995121,0.14811742,0.671796,0.40117407,0.8406744,0.7289382,0.61949944,0.63387567,0.106713176,0.45626736,0.46372795,0.8432792,0.8839891,0.5663048,0.53739554,0.80516243,0.041487843,1.5543201,0.6491372,0.553432,0.037754044,0.55481756,0.17374435,0.80551517,0.30318826,0.23170522,1.3298464,0.27808455,0.63829863,0.38394505,0.95816684,0.11964962,1.414237,1.5960912,1.0445514,0.5629088,0.35147068,0.5191479,1.0235231,0.32921252,0.59699893,1.5373516,0.34726298,0.41824806,1.0637934,0.9785497,1.2903559,0.32630634,0.90548414,0.25853488,0.21426305,0.8054308,0.42240584,1.2908387,0.43033886,0.2543338,1.0235498,0.5851792,0.86932665,0.6758069,0.6585056,0.87868106,1.4489092,1.0171645,0.6019246,0.06133598,1.1092874,1.0254506,0.5794214,0.3874901,0.3347724,0.9416412,0.39743757,0.3538886,0.36902487,0.5980853,0.66913617,0.6533083,0.47424608,0.8159083,0.5484604,0.5894726,0.8852695,1.5256236,0.41312742,0.43124187,0.6787595,0.0031254217,0.32527196,0.36229292,0.4690739,1.4255551,0.3711763,0.41724777,0.33262175,0.36299932,0.38017386,1.0904021,0.46731067,0.059794545,0.48323244,1.2418022,0.6827247,0.7350227,0.8953467,0.7601259,0.8778896,0.3175211,1.1049616,0.63123363,0.71064657,0.3218969,0.5509218,0.75050926,0.23227423,0.82380074,1.3126125,0.3532375,1.0810667,0.6288266,0.080626756,1.3663875,0.714664,1.1425798,1.0164785,0.17271835,0.06589177,1.1844542,0.46960092,0.66217625,0.2860905,0.5066647,0.34952033,0.15254611,0.3396315,0.6680248,1.1880677,0.07309991,1.1524652,0.6759307,0.6229903,0.09108031,1.2348325,0.6388786,0.5798367,0.9919156,0.39041653,0.12795666,0.8032149,0.87854373,0.23311394,0.54378414,0.30275303,0.9856876,0.95312154,0.08750957,1.262392,0.9624094,0.11105785,0.5736439,0.43059772,0.3095187,0.6116365,0.5507713,0.58723253,0.6770439,1.1294994,0.38661528,0.84495825,0.25520396,1.3592514,1.6299269,0.20251256,0.88292205,0.59598356,0.6729827,0.89516085,0.82181644,0.60118103,0.732374,0.9556273,1.0087717,0.9634562,1.7366647,0.13957286,0.68781006,0.31369257,0.3636164,0.7044368,0.12220842,1.0480232,0.34459203,1.576591,0.45235777,0.35677356,0.24524108,0.7430533,0.41770893,0.80348134,0.24585432,1.5634525,0.4453162,0.24365628,1.3733635,0.55113477,1.1147451,0.36178234,0.15322566,0.23311663,0.66878617,0.6567105,0.97894454,0.47499537,0.5565213,0.785786,0.7155527,0.8920543,0.48723656,0.69365674,0.40274364,0.97906446,0.25833243,0.18281561,0.1532849,1.2184365,0.17308512,0.5091876,0.8415087,0.2862696,1.1031346,0.23337823,0.5814036,0.3678456,0.09123376,0.21162152,0.28432018,0.80944806,1.243433,1.5350171,0.378613,1.1396067,0.93703943,0.705768,0.8008651,0.68252665,0.66458845,0.3771668,0.26300803,0.3866137,0.7590853,0.9001279,1.7211071,0.4157079,0.5547162,0.31138355,0.07116452,0.743888,0.6380722,0.028021157,0.094733775,0.88104045,0.6937255,0.36033994,1.076566,0.89144665,0.3416999,1.6194619,0.10988183,0.3718601,1.9029547,0.71196914,1.520437,0.14922553,0.5166104,0.45970172,0.06814614,0.6551488,0.62586457,0.6109223,0.20109719,0.9326702,0.86581933,XC180922 - Rufous-collared Sparrow - Zonotrichia capensis markli.wav,-1
6930,Zonotrichia capensis markli,./input/cosmos_embeddings/,3.0,6.0,0.6132815,0.311112,2.860836,1.80233,0.67629915,1.8808163,0.2066229,0.73323077,1.0653372,0.32397604,0.299879,1.5559094,1.2345418,0.7594518,0.97656524,1.5164269,0.7330112,1.6278869,0.52702963,0.7973917,0.8447759,1.4925805,0.47495806,1.2752504,0.5588254,0.9033143,0.12232995,1.1108909,1.7280042,1.6445285,1.2178719,0.40189487,0.4620207,0.6469477,1.0227332,0.4233899,0.8649866,1.5704364,1.2204316,0.36448187,1.1637287,0.67043096,0.29279184,0.81219244,0.0,0.46040487,0.7255304,0.8585083,0.7886483,1.1289996,2.2325983,0.3138222,1.6194868,1.0003463,0.4954046,0.43018836,0.8006888,0.26138318,0.85083324,1.1449548,0.5008257,0.58027065,1.8925079,0.2677017,0.8567792,0.28879964,0.7293722,1.7309097,1.7431719,1.0814615,0.6555445,0.41075826,1.6114528,1.2467114,0.13625866,1.387658,1.1053816,1.5719848,1.7602007,0.52329767,0.58609474,0.8246185,0.6686891,2.1242566,0.6488552,0.56250846,0.55305994,0.31491446,2.1912642,0.4371478,1.6205978,0.83282536,1.2842871,1.0539682,0.75142115,1.2925153,0.8665016,0.8603531,0.707018,1.4762876,0.8748892,1.4895246,0.76941246,0.03187944,1.1032934,0.00019850861,0.9625623,0.58006597,0.95505303,1.2352955,0.9093644,0.7329356,1.062058,0.7997017,1.042941,1.2029963,0.6103977,1.1573064,0.0,0.9738154,0.50711983,1.2851849,0.302337,0.33331645,0.4518829,0.8566817,0.44299042,0.65681446,1.4163754,1.6639266,0.52999747,0.62070215,0.90996385,2.3430505,0.28286058,0.93025136,0.78970045,0.65507954,0.93658847,0.48351246,0.43869925,0.19219032,1.2938306,0.28067547,0.38680393,0.4023928,0.1957227,0.6583625,0.5298132,1.218468,1.5701444,1.2230926,0.062794894,0.6465739,1.2275916,0.8948661,0.3064596,0.5302766,0.040037334,0.9197805,0.20068687,1.2120394,0.33508676,1.0692315,0.98124045,0.4803468,0.32564014,0.63054866,0.53759223,0.6034274,1.2526066,1.2977729,0.94080037,0.7072613,0.45543826,0.23718947,1.1531098,0.792802,0.29275635,1.1643596,0.8681025,0.67349917,1.1350402,0.48166698,1.4190345,0.9444089,1.8319051,0.44841534,0.5814932,1.1371827,1.4567152,1.1626849,0.6217322,0.5604342,0.8646782,1.4664085,1.0304389,0.63672745,0.7126745,0.9656814,0.38791978,1.6697879,0.5190106,0.4543382,0.6833279,1.3530331,0.7160373,0.64621246,0.33542344,0.47585768,0.6494114,0.27624938,0.24602759,0.6696639,0.82332337,1.7359865,0.43602788,1.0653085,1.1623731,0.5608426,0.9537999,0.6730994,0.8111773,0.5009681,0.47743487,0.22342959,0.8278637,0.3299303,1.1176771,0.40687275,0.12783152,0.6818472,0.8641729,2.4979334,0.44791824,1.7143307,0.72077715,0.29095554,0.34069413,1.3134606,1.1833694,0.65124124,1.8460469,1.4254762,0.6002134,0.9181557,1.8159168,0.4850099,0.44542056,0.27109715,1.3982334,0.6885157,0.47211036,1.0620444,0.54974914,0.20859522,0.99364424,0.55599606,0.08859837,1.1857679,0.8658709,1.0982747,0.97243357,0.007815801,0.6456625,0.21226072,0.39079106,0.968568,0.4270001,1.0327249,0.5423043,0.30611074,0.7751662,1.17487,1.3329766,0.1373803,0.62141037,0.8672301,0.74960154,0.44233397,0.7113576,0.76350355,0.7105138,0.33688948,0.5130768,0.055355728,0.8637561,0.9000108,1.2137604,0.20794874,0.43271875,0.16714823,0.97195196,0.0,1.1472905,0.57365596,0.6888984,0.70488876,0.7068751,0.17782634,0.6278588,1.1551888,0.68823713,0.72288513,1.4068091,1.0855877,1.2484264,0.29767644,0.5401672,0.7462275,0.59799635,1.2701137,0.359585,0.8145953,1.4111407,1.1558166,1.4755644,0.27851582,0.8737915,0.9175468,2.0613997,1.6642007,0.124213815,0.78027964,0.69283956,0.6133999,0.38233295,1.058063,0.9897943,0.18740064,1.4217851,1.2400111,1.0945098,0.56058484,0.48323977,0.6015551,1.5148113,1.2165341,1.4302,0.735343,0.9024741,0.9970186,0.6717312,1.1366358,1.0033494,0.7601855,0.7170646,0.8072097,0.9580109,0.98512304,0.41916054,0.70853496,1.0097194,0.39788103,0.88919914,0.31367356,0.69676006,0.5378216,0.6181644,0.62669206,0.08604503,0.26841545,1.4932768,0.2393657,0.3671663,1.0157115,1.2588916,0.723296,0.779764,0.5095645,0.11684695,0.9198484,1.0453106,0.65276515,1.9820199,1.602053,0.48112243,0.7239808,1.3709815,0.31387317,0.8131523,1.165551,0.6437487,0.54000837,0.24865854,0.18533677,1.0161916,0.9706529,1.3572552,0.8054977,0.59410924,0.43199342,0.63077646,0.058118194,0.5153902,0.8355393,0.16668889,0.80906165,0.62929684,1.0180192,0.9548284,1.5884848,1.2667383,0.5945717,1.2148128,0.050180852,0.9485403,1.0734034,0.6938432,0.82771176,0.50309646,0.20939386,0.16683775,0.2914958,1.0373116,0.72994655,1.0142896,0.39778852,1.0030503,1.2088141,XC180922 - Rufous-collared Sparrow - Zonotrichia capensis markli.wav,-1
6931,Zonotrichia capensis markli,./input/cosmos_embeddings/,6.0,9.0,0.47579092,0.041840583,2.026648,1.5475136,0.41394603,0.9477028,0.13878769,0.52522236,1.3577232,0.46939477,0.34599155,0.70151365,1.2776914,0.5500137,0.6881241,0.588644,0.3851316,1.7576482,0.5454327,1.367629,1.0530047,0.7608537,0.77932096,0.4915172,0.42832303,0.90016335,0.03064385,0.24139655,0.7613246,1.6234608,0.9156402,0.8094565,0.27325368,0.91042495,0.5655468,0.35930535,0.14312953,1.782881,0.59980416,0.9846488,1.2138851,0.31207538,0.19061726,2.054512,0.15452075,0.13134062,0.2659579,0.28852648,0.7892168,1.7240715,0.8857801,0.095887095,1.6047055,1.4056768,1.1263186,0.78788257,0.31664452,0.83315325,0.81884146,0.4143681,0.29960024,0.6974719,1.0338782,0.575517,1.0871098,0.3457849,0.58735126,1.7812972,0.88682586,1.0690782,0.761018,0.5518801,0.822663,0.29715002,0.5569098,0.73802996,0.198481,0.76997423,1.145112,0.36613053,1.0642607,0.7045948,0.6655236,1.0070494,0.00788185,0.00042640185,0.73337317,0.44606632,1.7194217,0.89048094,0.16241151,0.386797,0.886301,0.7356425,0.5930699,0.9719295,0.9057621,0.23108035,0.007672131,0.85771996,1.0818628,1.8171327,0.9448512,0.29096973,0.15689641,0.008648686,0.60249937,1.147058,0.115570426,0.5701971,1.0640152,1.297095,1.4805162,0.21393365,0.8277162,0.55855954,0.18911433,0.68785053,0.28394818,0.81579775,1.1555101,0.8633532,0.39396283,0.83639216,0.5760201,0.29833013,0.7941234,0.6652233,0.5866945,1.6385355,0.8648114,0.2757467,0.18194419,1.5857214,0.045844585,0.8886413,0.42647976,1.170171,1.0696839,0.27833873,0.82426244,0.19453514,0.52413344,0.24841624,0.3159971,0.84986705,0.15493947,0.7677686,0.39429122,0.908886,1.0238478,0.31625134,0.1526857,0.32684392,0.75901127,1.2639424,0.2941994,0.8234361,0.015082344,0.16801816,0.29773653,1.3716024,0.4476965,0.56048614,1.601787,0.15957826,0.3507489,1.5134487,0.040835798,0.80703557,1.6923038,0.8858883,0.6724984,0.17676395,0.4572128,0.8102585,1.4781611,0.62213546,0.25305617,1.5162456,0.93357545,0.25446042,0.79400223,0.69034666,0.4067312,0.36032137,1.779038,0.32474393,0.29781896,0.6693415,0.58695096,1.1333311,0.21714693,0.2928974,0.70114845,0.5497962,0.80541486,0.84983385,0.5715889,1.2134591,1.1741033,0.7957728,1.1512972,0.3079811,0.5909108,0.23419672,0.66332877,0.06492174,0.1975101,0.4808231,0.6718517,0.22018868,0.009214774,0.7033962,0.36331874,0.9970226,1.2575507,0.9866432,0.2527265,0.8796928,0.9300481,0.873947,1.138076,0.29175395,0.5937019,0.08283234,0.79459417,0.413329,0.44057006,0.32635438,0.24600762,0.30962533,0.63002557,1.0157743,0.09420419,1.2612183,0.85447836,0.19158232,0.1569637,1.0431325,1.0138644,0.87613475,1.60883,0.7124511,1.9078797,0.654823,1.754068,0.53933823,0.7767904,0.06512453,0.9899212,1.0117805,0.21681854,1.0151398,1.2723074,0.508313,0.6793572,0.8346886,0.27193066,0.8648176,0.44859067,0.8348392,0.83178294,0.30888295,0.42878675,0.16629219,1.0074985,0.99133617,0.6727754,0.81492233,0.6866968,0.12055975,0.53705776,0.5021695,1.286567,0.14277521,0.58582604,0.690537,1.0044793,0.5572803,1.7389854,0.47379577,0.47300246,1.1780374,0.21121591,0.018794969,0.7576544,0.61516595,0.5062868,0.59456027,0.6267667,0.777266,1.1949878,0.37242317,1.3244522,0.24752945,0.14702564,0.9623575,0.5138382,0.1417917,0.15377414,0.99509656,0.39290428,1.181849,1.266098,0.55927956,1.5800365,1.0858307,0.78174895,2.130764,0.2775732,1.1443491,0.5217932,0.44108158,1.3749437,0.38439068,0.3674794,0.0,0.4196025,0.6713222,1.2983172,1.6630521,0.3202287,0.5323593,0.28376025,0.43305463,0.1423938,0.5224303,0.8431276,0.50107014,1.0182741,0.6650368,1.0096807,0.508366,0.21598864,1.0123618,1.7482023,1.3129324,2.0715141,0.8245641,0.08388153,0.27724546,0.87080014,0.8281182,0.19358861,0.57543075,0.15709004,0.35039407,0.33401656,0.83910626,0.32410055,0.62772644,1.3791671,0.25845408,1.1467376,0.22519559,0.6380414,0.19841826,0.7374516,0.8306834,0.34293535,0.6603572,1.0829372,0.49643677,0.6071331,0.5311635,0.37089416,1.0517184,0.33014548,0.69116074,0.26249185,0.22870767,0.3511765,0.87226033,1.3748759,1.8125451,1.3350554,0.2690999,1.5123788,0.35136318,0.76992536,0.58538777,1.0948857,0.54897577,0.2510895,0.4514561,1.0450076,0.5897404,0.6693388,0.39006674,0.5764453,0.31941253,0.20473933,0.06510773,0.32592314,0.1934363,0.26708114,0.39948606,0.6800213,0.39883614,0.5208686,0.6523237,0.72774506,0.3801911,0.8694444,0.41862106,0.104831845,0.45376664,0.9696064,0.45880163,0.029075518,0.3254748,0.11443454,0.04006675,0.72669935,0.8606655,0.0,0.032662183,2.1309657,1.3143111,XC180922 - Rufous-collared Sparrow - Zonotrichia capensis markli.wav,-1
6932,Zonotrichia capensis markli,./input/cosmos_embeddings/,9.0,12.0,0.41838408,0.9007133,3.144387,0.7372402,1.2781887,1.5626574,0.59724724,1.3363574,0.45260626,1.3080636,0.918983,2.2794638,1.5822797,0.8786789,1.0287774,0.8727506,0.6808966,1.5688397,0.11506826,0.9834499,0.87878525,1.3627625,0.7544738,0.7223903,0.8683854,0.6947696,0.22589424,1.168024,1.5348392,1.571649,0.65575767,0.39459407,0.46123922,0.5658256,0.64673173,1.3645434,0.8165914,1.9711163,0.9397823,0.62815994,0.6209939,0.88530713,0.004129857,0.9418409,0.00101637,1.0038147,0.5064054,0.42493135,1.3949728,0.87128633,1.0429113,0.40219468,1.6386003,0.9373224,0.8156253,0.9602714,0.5029485,0.11478454,0.99839276,1.1745098,0.7164162,0.4325075,1.0920019,0.30874544,0.94521934,0.5244398,0.64860773,1.6769173,0.6530956,1.6141396,1.1662624,0.45218536,1.6186066,1.0726365,0.5774753,1.1705525,0.875101,0.9317925,1.4568245,0.3474339,0.8032093,0.72372806,0.88084406,2.3423016,0.9586209,0.27468413,1.1011761,0.69998175,0.9583051,0.65279394,0.47959316,0.52333313,1.6612961,0.8927559,0.527487,1.5538838,1.0803225,0.9164415,0.32448477,1.36882,1.0349684,1.603575,0.3226512,0.4613139,0.86272436,0.042828143,1.3332199,0.9481603,0.40250915,0.7187146,0.7475118,0.91200066,1.8886163,0.5319971,1.7049744,1.4922342,0.542482,1.4663405,0.032923907,1.1625649,0.8466986,0.88530856,0.43424892,0.5447584,0.33537436,0.46549892,0.23587632,1.3403082,0.78832304,1.7749909,0.5141921,0.36500388,0.680479,2.8700619,0.3227834,0.57658416,1.0672802,1.2021353,0.772265,0.44881427,0.65742445,0.60413206,1.4318748,0.75125015,0.11492464,0.21862736,0.06627244,0.58109057,0.47669363,0.932078,1.5355684,0.5092802,0.023007885,0.6466402,0.57604563,1.0114708,0.5794556,1.3960836,0.2834838,0.8735319,0.38016468,1.2776642,0.20549816,0.9854075,1.4727392,0.42278224,1.0160671,0.38542908,0.8533094,0.4264006,1.2529448,1.135921,0.81834257,0.37495494,0.95881903,0.4530809,0.94295865,0.7017028,0.29952735,1.492938,1.0162692,0.6871644,1.2880428,0.45523024,1.4486787,1.171703,1.4737053,0.7289521,0.9730117,0.5010681,1.0962641,1.4762306,0.4589228,0.17755401,0.78501236,1.169411,0.8083853,0.5410009,0.5588963,1.1199875,0.8113151,1.4960482,0.44662106,0.12712646,0.58540976,0.9441876,0.5760198,0.29384667,0.3764439,0.62562656,1.0245056,0.45093596,0.14406365,1.3651592,1.3839006,0.9815819,0.842879,0.8486189,0.7376463,0.86901975,0.7453052,1.0616086,0.6208794,0.7815612,0.3356499,0.2351402,0.54625905,0.28913635,0.69908285,0.26008838,0.20913148,0.78118145,0.4898762,2.4338517,0.25779915,1.4112694,0.80200624,0.5080423,0.20388561,0.78603184,0.9506757,1.5405015,1.8742701,0.9475747,0.9838916,0.46171492,2.1560683,0.49480623,0.79766196,0.36803722,1.1599557,1.3750594,0.14679736,0.383237,0.7138679,0.6336398,1.0823963,0.6653862,0.41033834,0.72460455,0.6531801,1.2721723,0.8882106,0.51216066,0.37788773,0.578708,1.0896105,0.63306224,0.2384133,0.7925694,0.849526,0.02453266,0.5959271,1.3047352,0.68496174,0.19656748,0.4577111,0.9200699,0.845597,0.1556673,1.2558584,1.070612,1.0789607,0.5573163,0.6287555,0.06375384,0.8201731,1.454042,0.5362198,0.80539984,0.7813272,0.98152554,1.6082969,0.10608837,1.6472697,0.7193418,0.2758816,0.70063865,0.65520495,0.0,0.18280557,0.86812836,0.5863301,0.7772078,0.83681375,1.3085165,1.0286269,0.30398154,1.0521469,0.48552024,0.33762056,1.492662,0.40133375,0.74994326,1.0349605,1.1328423,1.2945875,1.0826764,1.51183,1.1374544,1.1705183,1.1715133,0.23402265,0.51389295,0.46271837,1.0018907,0.25715148,0.8031252,1.2018201,0.6588145,1.1680505,0.8996198,0.8778105,0.88203514,0.17299372,1.0265701,1.298162,1.1202497,1.1743941,0.425079,0.95099854,0.503043,0.44957462,1.7371626,1.1071005,1.1272352,0.6779698,0.8793904,0.74230146,0.52472466,0.79174954,1.0248705,0.90550476,0.48692733,0.6107248,0.35582393,1.1421053,0.5126955,0.41141075,0.9410192,0.49184924,0.20209047,2.119476,0.44849747,0.11362854,1.070001,0.57508993,1.3137513,0.7590349,0.55851257,0.44477445,0.7558051,0.42458755,0.47485748,1.4788568,1.7269478,0.7203924,0.4019341,1.3488231,0.66878855,0.8001102,1.0189649,0.48717403,0.6302487,0.3236318,0.2929594,0.8854824,1.1254934,1.1776607,0.43029636,0.8125244,0.54268396,0.3697784,0.09516394,0.2781558,0.9364428,0.13549173,0.55287,1.0590483,1.2763038,1.1222138,1.6871016,0.80592793,1.2463765,0.93316543,0.565581,0.8496947,0.6896596,1.3128918,0.7779532,0.44664162,0.23384112,0.24185029,0.27471042,0.88589764,0.8006344,0.95294344,0.66813713,0.848447,0.76224846,XC180922 - Rufous-collared Sparrow - Zonotrichia capensis markli.wav,-1
6933,Zonotrichia capensis markli,./input/cosmos_embeddings/,12.0,15.0,0.6141876,0.17911679,1.6885868,1.5153795,1.0293472,0.638196,0.3790598,0.57245374,0.95431745,1.3284358,0.052262276,0.32184315,1.0510768,0.5095237,1.5225188,1.2469108,0.4586215,1.8196704,0.6609033,1.3359051,0.7435561,0.2981192,0.44409376,0.5222278,0.5618711,0.65010494,0.037062168,0.2984916,1.0297139,2.3119802,1.2977476,0.43848443,0.03849429,1.3738055,1.1344976,0.549335,0.962673,2.139233,0.26140368,1.0796616,1.9447803,0.39708856,0.24663013,1.2469875,0.060281575,0.64986664,0.4188401,0.23910588,0.7994896,1.1909989,1.0424913,0.18730104,1.4566176,1.7110757,1.5472685,0.618162,1.6427263,1.0543786,0.7282763,0.6115663,0.9404943,0.58412176,1.4032931,0.23793083,1.1937473,0.7247054,1.1557766,1.5742276,0.7291642,1.5773189,1.0133052,0.5411682,0.93389344,0.27001438,0.9968666,1.2036169,0.6586212,0.8715163,1.8339933,0.73111033,1.1660442,0.043761566,0.57529736,1.5301349,0.20963702,0.1582315,1.1821622,0.6526806,1.7617552,0.52179694,0.57352376,0.39981276,1.6240273,1.3746092,1.0114194,0.98723483,0.9866855,0.43415132,0.21437836,0.97776514,0.7812344,1.1191804,0.5113289,0.67625594,0.3218907,0.021735772,0.5634422,1.1622627,0.44983697,0.59554267,0.41039413,1.406284,0.6501362,0.8079481,0.51666224,1.7232856,0.053819343,1.1012921,0.02289167,1.1256839,1.0314109,1.3493662,0.4297412,0.56229585,0.68637675,1.2776483,0.7685642,0.3827992,1.4892192,2.174223,0.7012665,0.5673542,0.1348145,1.2995605,0.061713725,0.9356034,0.7746663,1.0467547,1.179544,0.22189212,0.6667637,0.17098522,0.5538445,0.19507697,0.1449661,0.5467223,0.16057527,0.04223013,0.6166718,1.1304691,0.8593998,0.688245,0.3507883,0.37536907,0.7635012,1.0861237,0.435431,0.99373776,0.3259672,0.071096644,0.05233699,1.3988453,0.33876598,0.96205634,1.4929633,0.15357009,0.24112934,1.5312767,0.38026947,0.9198477,1.7911913,1.6566824,0.5455759,0.37879544,0.100033134,0.27261373,1.4988973,0.1634345,0.043591827,1.7616868,1.5529473,0.58210623,1.1740146,1.3857712,1.3037481,0.19119045,1.6529328,0.33357006,0.36906844,0.9250618,1.0584463,1.6542904,0.20031816,0.5136335,0.280734,1.1536772,0.5581254,0.74447256,1.1298296,0.73491466,1.4341583,2.1726556,1.6534598,0.049084842,1.2877581,1.3368524,0.34378082,0.038654268,0.2638377,1.209972,0.35970747,0.56585115,0.04209259,1.1639762,0.7326883,0.85722196,1.0405862,0.78841585,0.49775642,1.5021927,1.4757352,1.518992,1.1752195,0.36214462,0.7858477,0.031092703,0.8150383,0.20707047,0.75278366,1.1968995,0.09333721,0.61145276,0.25850827,0.7072941,0.41077882,1.7034976,0.89546627,0.03770691,0.241548,0.61512464,0.948398,0.9279813,1.6237046,0.21926153,1.2129405,1.2196562,1.5220108,0.5447465,0.61999905,0.115423396,0.6844389,1.6003264,0.2436257,1.1565077,0.49612164,0.6975708,0.42238826,0.4318012,0.60271806,0.773166,1.2529557,1.2606368,1.4302422,0.25866443,0.5045461,0.67180085,0.9914948,1.1209165,0.48858523,0.4471316,0.89694995,0.060697705,1.0623195,0.8505529,1.6147652,0.17945564,0.7902993,0.6014774,1.3480575,0.78824395,1.7570142,0.4049433,0.56832063,0.24109381,0.8645254,0.06281498,1.1829908,1.1636233,0.38109016,0.868613,0.50122577,1.000453,1.0267298,0.14140663,1.1665113,0.31540018,0.36388564,0.93180406,0.03051576,0.13954204,0.3532201,1.0576817,0.30783725,0.5312287,0.7250161,0.4952966,1.1253598,0.6003107,1.1279132,1.4743949,0.64760214,1.368119,0.5172317,0.64698935,0.93367624,0.5799246,0.2985748,0.009947322,0.57990414,0.6973491,0.97869015,1.340087,0.15958107,0.87335193,0.47150886,0.7308352,0.9099369,0.1770843,0.6815289,1.214475,0.6764483,0.4249242,0.5965299,0.43212527,0.52963406,0.46048057,1.7496641,1.5336812,1.4792643,1.3459773,0.10241616,0.65762204,1.0111797,1.0289581,0.6829415,0.07689762,0.4003868,1.2031722,0.72233415,0.94493556,0.948759,1.1180712,0.8913247,0.6181598,0.84040445,0.3798188,1.449851,0.72841746,1.2726282,0.61787677,0.16944498,0.37449682,1.8932488,0.47847044,0.78406155,0.5690213,0.3002232,2.1002083,0.29771554,0.8210943,0.16861999,0.46738094,0.24819615,0.66576076,1.4115739,1.6085228,1.3676064,0.5426372,1.788877,0.28242147,1.6309421,0.37841094,0.8705834,0.71200943,0.47459084,0.22952452,0.68663794,0.62909955,0.6430701,0.7952148,0.70873237,0.21904045,0.28503108,0.08530021,0.025798425,0.5677933,0.48575747,0.8271119,0.7160951,0.6571579,0.39357,0.7039796,0.5646846,0.6886969,1.5817901,0.78079486,0.54746526,1.2049534,1.7638358,1.0561385,0.17897052,0.34969348,0.55167705,0.040009424,0.80225027,0.73565644,0.07008058,0.009774409,1.8796797,1.1440252,XC180922 - Rufous-collared Sparrow - Zonotrichia capensis markli.wav,-1
