FILENAME;CLIP LENGTH;Start (s);End (s);Scientific name;Common name;Confidence
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-130084.wav;23.832;9.0;12.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.7476357
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-130084.wav;23.832;12.0;15.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.9153499
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-130084.wav;23.832;18.0;21.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.94488746
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-133604.wav;14.28;0.0;3.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.8527526
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-133604.wav;14.28;3.0;6.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.45275214
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-133604.wav;14.28;6.0;9.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.87195015
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-133604.wav;14.28;12.0;15.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.7554154
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-133604.wav;14.28;12.0;15.0;Porphyrio melanotus;Australasian Swamphen;0.120521806
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-133605.wav;15.024;0.0;3.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.70010597
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-133605.wav;15.024;0.0;3.0;Picus awokera;Japanese Woodpecker;0.37813762
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-133605.wav;15.024;3.0;6.0;Picus awokera;Japanese Woodpecker;0.45740747
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-133605.wav;15.024;3.0;6.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.33943078
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-133605.wav;15.024;6.0;9.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.59616995
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-133605.wav;15.024;6.0;9.0;Picus awokera;Japanese Woodpecker;0.43963912
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-13396.wav;22.5698125;6.0;9.0;Megarynchus pitangua;Boat-billed Flycatcher;0.7308471
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-13396.wav;22.5698125;6.0;9.0;Petronia petronia;Rock Sparrow;0.42627215
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-13396.wav;22.5698125;9.0;12.0;Hemitriccus diops;Drab-breasted Pygmy-Tyrant;0.12670289
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-13396.wav;22.5698125;9.0;12.0;Hemitriccus cinnamomeipectus;Cinnamon-breasted Tody-Tyrant;0.12440024
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-13397.wav;13.740416666666667;0.0;3.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.65728813
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-13397.wav;13.740416666666667;0.0;3.0;Lophotriccus galeatus;Helmeted Pygmy-Tyrant;0.13534662
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-13397.wav;13.740416666666667;3.0;6.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.48031196
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-13397.wav;13.740416666666667;3.0;6.0;Lophotriccus galeatus;Helmeted Pygmy-Tyrant;0.13141295
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-13397.wav;13.740416666666667;9.0;12.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.7809956
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-14532.wav;16.770625;3.0;6.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.99364215
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-14532.wav;16.770625;3.0;6.0;Blythipicus rubiginosus;Maroon Woodpecker;0.15383998
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-14532.wav;16.770625;6.0;9.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.9972133
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-14532.wav;16.770625;6.0;9.0;Blythipicus rubiginosus;Maroon Woodpecker;0.30558226
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-14532.wav;16.770625;9.0;12.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.9914689
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-14532.wav;16.770625;9.0;12.0;Blythipicus rubiginosus;Maroon Woodpecker;0.2783577
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-14532.wav;16.770625;12.0;15.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.97462636
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-14532.wav;16.770625;12.0;15.0;Blythipicus rubiginosus;Maroon Woodpecker;0.2889918
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;0.0;3.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.96620876
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;3.0;6.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.9714736
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;3.0;6.0;Hemitriccus zosterops;White-eyed Tody-Tyrant;0.1645906
/media/jacob/Audio/Training_Xeno_Canto_2022/Hemitriccus-griseipectus-158188.wav;70.5045;6.0;9.0;Hemitriccus griseipectus;White-bellied Tody-Tyrant;0.9580875
