ID,Order,Family,Genus,Epithet,Species,Common,CommonES,Status,XCRecordings,VoucherMUSM-Orn,Priority
368,Piciformes,Picidae,Melanerpes,candidus,Melanerpes candidus,White Woodpecker,Carpintero Blanco,Raras/Accidentales,77,,
369,Piciformes,Picidae,Melanerpes,cruentatus,Melanerpes cruentatus,Yellow-tufted Woodpecker,Carpintero Azulado,,108,x,2
370,Piciformes,Picidae,Veniliornis,passerinus,Veniliornis passerinus,Little Woodpecker,Carpintero Chico,,77,,
371,Piciformes,Picidae,Veniliornis,affinis,Veniliornis affinis,Red-stained Woodpecker,Carpintero Teñido,,64,1,
372,Piciformes,Picidae,Campephilus,haematogaster,Campephilus haematogaster,Crimson-bellied Woodpecker,Picamaderos Ventrirrojo,,52,,
373,Piciformes,Picidae,Campephilus,rubricollis,Campephilus rubricollis,Red-necked Woodpecker,Picamaderos Cuellirrojo,,114,1,
374,Piciformes,Picidae,Campephilus,melanoleucos,Campephilus melanoleucos,Crimson-crested Woodpecker,Picamaderos Barbinegro,,151,,
375,Piciformes,Picidae,Dryocopus,lineatus,Dryocopus lineatus,Lineated Woodpecker,Picamaderos Listado,,295,1,
376,Piciformes,Picidae,Celeus,torquatus,Celeus torquatus,Ringed Woodpecker,Carpintero pechinegro guayanés,,96,,
377,Piciformes,Picidae,Celeus,grammicus,Celeus grammicus,Scaly-breasted Woodpecker,Carpintero Rojizo,,89,1,
378,Piciformes,Picidae,Celeus,flavus,Celeus flavus,Cream-colored Woodpecker,Carpintero Amarillo,,88,1,
379,Piciformes,Picidae,Celeus,spectabilis,Celeus spectabilis,Rufous-headed Woodpecker,Carpintero cabecirrufo,,33,1,
380,Piciformes,Picidae,Celeus,elegans,Celeus elegans,Chestnut Woodpecker,Carpintero Elegante,,52,1,
381,Piciformes,Picidae,Piculus,leucolaemus,Piculus leucolaemus,White-throated Woodpecker,Carpintero gorjiblanco,,33,1,
382,Piciformes,Picidae,Piculus,flavigula,Piculus flavigula,Yellow-throated Woodpecker,Carpintero gorjigualdo,,64,,
383,Piciformes,Picidae,Piculus,chrysochloros,Piculus chrysochloros,Golden-green Woodpecker,Carpintero Verdiamarillo,,42,,
384,Piciformes,Picidae,Colaptes,rubiginosus,Colaptes rubiginosus,Golden-olive Woodpecker,Carpintero Oliváceo,,151,,
385,Piciformes,Picidae,Colaptes,rivolii,Colaptes rivolii,Crimson-mantled Woodpecker,Carpintero candela común,,85,,
386,Piciformes,Picidae,Colaptes,punctigula,Colaptes punctigula,Spot-breasted Woodpecker,Carpintero Moteado,,52,1,
387,Piciformes,Picidae,Colaptes,rupicola,Colaptes rupicola,Andean Flicker,Carpintero andino meridional,,61,,
388,Falconiformes,Falconidae,Herpetotheres,cachinnans,Herpetotheres cachinnans,Laughing Falcon,Halcón Reidor,,263,,
389,Falconiformes,Falconidae,Micrastur,ruficollis,Micrastur ruficollis,Barred Forest Falcon,Halcón montés agavilanado,,358,,
390,Falconiformes,Falconidae,Micrastur,gilvicollis,Micrastur gilvicollis,Lined Forest Falcon,Halcón montés cabecigrís,,90,,
391,Falconiformes,Falconidae,Micrastur,mirandollei,Micrastur mirandollei,Slaty-backed Forest Falcon,Halcón montés dorsigrís,,69,,
392,Falconiformes,Falconidae,Micrastur,semitorquatus,Micrastur semitorquatus,Collared Forest Falcon,Halcón montés collarejo,,247,,
393,Falconiformes,Falconidae,Micrastur,buckleyi,Micrastur buckleyi,Buckley's Forest Falcon,Halcón montés de Buckley,,29,1,1
394,Falconiformes,Falconidae,Caracara,plancus,Caracara plancus,Southern Crested Caracara,Carancho meridional,,77,,
395,Falconiformes,Falconidae,Ibycter,americanus,Ibycter americanus,Red-throated Caracara,Caracara gorjirrojo,,187,x,2
396,Falconiformes,Falconidae,Daptrius,ater,Daptrius ater,Black Caracara,Caracara Negro,,71,,
397,Falconiformes,Falconidae,Milvago,chimachima,Milvago chimachima,Yellow-headed Caracara,Caracara Chimachima,,203,,
398,Falconiformes,Falconidae,Falco,sparverius,Falco sparverius,American Kestrel,Cernícalo Americano,,95,,
399,Falconiformes,Falconidae,Falco,rufigularis,Falco rufigularis,Bat Falcon,Halcón Murcielaguero,,82,,
400,Falconiformes,Falconidae,Falco,deiroleucus,Falco deiroleucus,Orange-breasted Falcon,Halcón Pechirrojo,Casi amenazada,29,,
401,Falconiformes,Falconidae,Falco,femoralis,Falco femoralis,Aplomado Falcon,Halcón Aleto,,44,,
402,Falconiformes,Falconidae,Falco,peregrinus,Falco peregrinus,Peregrine Falcon,Halcón Peregrino,,184,,
403,Psittaciformes,Psittacidae,Touit,huetii,Touit huetii,Scarlet-shouldered Parrotlet,Cotorrita Alirroja,Vulnerable,21,,
404,Psittaciformes,Psittacidae,Bolborhynchus,lineola,Bolborhynchus lineola,Barred Parakeet,Catita Barrada,,61,,
405,Psittaciformes,Psittacidae,Bolborhynchus,orbygnesius,Bolborhynchus orbygnesius,Andean Parakeet,Catita Andina,,20,,
406,Psittaciformes,Psittacidae,Nannopsittaca,dachilleae,Nannopsittaca dachilleae,Manu Parrotlet,Cotorrita Amazónica,Casi amenazada,2,,
407,Psittaciformes,Psittacidae,Brotogeris,sanctithomae,Brotogeris sanctithomae,Tui Parakeet,Catita Frentigualda,,36,,
408,Psittaciformes,Psittacidae,Brotogeris,versicolurus,Brotogeris versicolurus,White-winged Parakeet,Catita Versicolor,,19,,
409,Psittaciformes,Psittacidae,Brotogeris,cyanoptera,Brotogeris cyanoptera,Cobalt-winged Parakeet,Catita Aliazul,,80,1,1
410,Psittaciformes,Psittacidae,Pyrilia,barrabandi,Pyrilia barrabandi,Orange-cheeked Parrot,Lorito Carinaranja,Casi amenazada,28,,
411,Psittaciformes,Psittacidae,Pionus,tumultuosus,Pionus tumultuosus,Plum-crowned Parrot,Loro Tumultuoso,,17,,
412,Psittaciformes,Psittacidae,Pionus,menstruus,Pionus menstruus,Blue-headed Parrot,Loro Cabeciazul,,202,,
413,Psittaciformes,Psittacidae,Amazona,ochrocephala,Amazona ochrocephala,Yellow-crowned Amazon,Amazona Real,,119,,
414,Psittaciformes,Psittacidae,Amazona,aestiva,Amazona aestiva,Turquoise-fronted Amazon,Amazona Frentiazul,Raras/Accidentales,92,,
415,Psittaciformes,Psittacidae,Amazona,farinosa,Amazona farinosa,Southern Mealy Amazon,Amazona Harinosa,,253,x,2
416,Psittaciformes,Psittacidae,Amazona,amazonica,Amazona amazonica,Orange-winged Amazon,Amazona Alinaranja,,124,,
417,Psittaciformes,Psittacidae,Amazona,mercenarius,Amazona mercenarius,Scaly-naped Amazon,Amazona Mercenaria,,99,,
418,Psittaciformes,Psittacidae,Forpus,modestus,Forpus modestus,Dusky-billed Parrotlet,Cotorrita de Sclater,,26,,
419,Psittaciformes,Psittacidae,Forpus,xanthopterygius,Forpus xanthopterygius,Blue-winged Parrotlet,Cotorrita Aliazul,,67,,
420,Psittaciformes,Psittacidae,Pionites,leucogaster,Pionites leucogaster,White-bellied Parrot,Lorito rubio oriental,,60,x,2
421,Psittaciformes,Psittacidae,Pyrrhura,roseifrons,Pyrrhura roseifrons,Rose-fronted Parakeet,Cotorra frentirrosa,Casi amenazada,12,,
422,Psittaciformes,Psittacidae,Pyrrhura,rupicola,Pyrrhura rupicola,Black-capped Parakeet,Cotorra Capirotada,,23,1,1
423,Psittaciformes,Psittacidae,Eupsittula,aurea,Eupsittula aurea,Peach-fronted Parakeet,Aratinga Frentidorada,,69,,
424,Psittaciformes,Psittacidae,Aratinga,weddellii,Aratinga weddellii,Dusky-headed Parakeet,Aratinga Cabecifusca,,53,,
425,Psittaciformes,Psittacidae,Orthopsittaca,manilatus,Orthopsittaca manilatus,Red-bellied Macaw,Guacamayo Ventrirrojo,Vulnerable,73,,
426,Psittaciformes,Psittacidae,Primolius,couloni,Primolius couloni,Blue-headed Macaw,Guacamayo Cabeciazul,,31,x,2
427,Psittaciformes,Psittacidae,Ara,ararauna,Ara ararauna,Blue-and-yellow Macaw,Guacamayo azuliamarillo,Vulnerable,125,,
428,Psittaciformes,Psittacidae,Ara,militaris,Ara militaris,Military Macaw,Guacamayo Militar,,129,,
429,Psittaciformes,Psittacidae,Ara,macao,Ara macao,Scarlet Macaw,Guacamayo Macao,,101,x,2
430,Psittaciformes,Psittacidae,Ara,chloropterus,Ara chloropterus,Red-and-green Macaw,Guacamayo Aliverde,,89,,
431,Psittaciformes,Psittacidae,Ara,severus,Ara severus,Chestnut-fronted Macaw,Guacamayo Severo,Vulnerable,128,,
432,Psittaciformes,Psittacidae,Leptosittaca,branickii,Leptosittaca branickii,Golden-plumed Parakeet,Aratinga de Pinceles,,84,,
433,Psittaciformes,Psittacidae,Diopsittaca,nobilis,Diopsittaca nobilis,Red-shouldered Macaw,Guacamayo noble norteño,,74,,
434,Psittaciformes,Psittacidae,Psittacara,leucophthalmus,Psittacara leucophthalmus,White-eyed Parakeet,Aratinga Ojiblanca,,151,,
435,Passeriformes,Thamnophilidae,Euchrepomis,callinota,Euchrepomis callinota,Rufous-rumped Antwren,Tiluchí Lomirrufo,,24,,
436,Passeriformes,Thamnophilidae,Euchrepomis,humeralis,Euchrepomis humeralis,Chestnut-shouldered Antwren,Tiluchí Hombrocastaño,,28,,
437,Passeriformes,Thamnophilidae,Cymbilaimus,lineatus,Cymbilaimus lineatus,Fasciated Antshrike,Batará Lineado,,183,1,
438,Passeriformes,Thamnophilidae,Cymbilaimus,sanctaemariae,Cymbilaimus sanctaemariae,Bamboo Antshrike,Batará de Madre de Dios,,46,,
439,Passeriformes,Thamnophilidae,Frederickena,unduliger,Frederickena unduliger,Undulated Antshrike,Batará Ondulado,,11,,
440,Passeriformes,Thamnophilidae,Taraba,major,Taraba major,Great Antshrike,Batará Mayor,,349,1,
441,Passeriformes,Thamnophilidae,Thamnophilus,doliatus,Thamnophilus doliatus,Barred Antshrike,Batará Barrado,,326,1,
442,Passeriformes,Thamnophilidae,Thamnophilus,ruficapillus,Thamnophilus ruficapillus,Rufous-capped Antshrike,Batará Pardo,,121,,
443,Passeriformes,Thamnophilidae,Thamnophilus,palliatus,Thamnophilus palliatus,Chestnut-backed Antshrike,Batará Dorsicastaño,,105,,
444,Passeriformes,Thamnophilidae,Thamnophilus,schistaceus,Thamnophilus schistaceus,Plain-winged Antshrike,Batará Alillano,,137,1,
445,Passeriformes,Thamnophilidae,Thamnophilus,murinus,Thamnophilus murinus,Mouse-colored Antshrike,Batará Murino,,147,,
446,Passeriformes,Thamnophilidae,Thamnophilus,caerulescens,Thamnophilus caerulescens,Variable Antshrike,Batará Variable,,231,,
447,Passeriformes,Thamnophilidae,Thamnophilus,aethiops,Thamnophilus aethiops,White-shouldered Antshrike,Batará Hombroblanco,,165,BIOPE,
448,Passeriformes,Thamnophilidae,Thamnophilus,amazonicus,Thamnophilus amazonicus,Amazonian Antshrike,Batará Amazónico,,119,,
449,Passeriformes,Thamnophilidae,Neoctantes,niger,Neoctantes niger,Black Bushbird,Batará Arbustero,,35,,
450,Passeriformes,Thamnophilidae,Thamnistes,anabatinus,Thamnistes anabatinus,Russet Antshrike,Batará Café,,52,1,
451,Passeriformes,Thamnophilidae,Dysithamnus,mentalis,Dysithamnus mentalis,Plain Antvireo,Batarito Cabecigrís,,387,1,
452,Passeriformes,Thamnophilidae,Thamnomanes,ardesiacus,Thamnomanes ardesiacus,Dusky-throated Antshrike,Batará Gorgioscuro,,114,BIOPE,
453,Passeriformes,Thamnophilidae,Thamnomanes,schistogynus,Thamnomanes schistogynus,Bluish-slate Antshrike,Batará Azulino,,68,BIOPE,
454,Passeriformes,Thamnophilidae,Isleria,hauxwelli,Isleria hauxwelli,Plain-throated Antwren,Hormiguerito de Hauxwell,,107,BIOPE,2
455,Passeriformes,Thamnophilidae,Pygiptila,stellaris,Pygiptila stellaris,Spot-winged Antshrike,Batará Estrellado,,100,1,
456,Passeriformes,Thamnophilidae,Epinecrophylla,leucophthalma,Epinecrophylla leucophthalma,White-eyed Antwren,Hormiguerito Ojiblanco,,78,BIOPE,2
457,Passeriformes,Thamnophilidae,Epinecrophylla,haematonota,Epinecrophylla haematonota,Napo Stipple-throated Antwren,Hormiguerito dorsirrojo occidental,,42,1,
458,Passeriformes,Thamnophilidae,Epinecrophylla,amazonica,Epinecrophylla amazonica,Madeira Stipple-throated Antwren,Hormiguerito dorsirrojo oriental,,30,,
459,Passeriformes,Thamnophilidae,Epinecrophylla,spodionota,Epinecrophylla spodionota,Foothill Antwren,Hormiguerito Submontano,,45,,
460,Passeriformes,Thamnophilidae,Epinecrophylla,ornata,Epinecrophylla ornata,Ornate Antwren,Hormiguerito Ornado,,85,1,
461,Passeriformes,Thamnophilidae,Epinecrophylla,erythrura,Epinecrophylla erythrura,Rufous-tailed Antwren,Hormiguerito Colirrufo,,22,,
462,Passeriformes,Thamnophilidae,Myrmotherula,brachyura,Myrmotherula brachyura,Pygmy Antwren,Hormiguerito Pigmeo,,155,,
463,Passeriformes,Thamnophilidae,Myrmotherula,sclateri,Myrmotherula sclateri,Sclater's Antwren,Hormiguerito de Sclater,,61,,
464,Passeriformes,Thamnophilidae,Myrmotherula,multostriata,Myrmotherula multostriata,Amazonian Streaked Antwren,Hormiguerito Amazónico,,95,,
465,Passeriformes,Thamnophilidae,Myrmotherula,longicauda,Myrmotherula longicauda,Stripe-chested Antwren,Hormiguerito Pechilistado,,42,,
466,Passeriformes,Thamnophilidae,Myrmotherula,axillaris,Myrmotherula axillaris,White-flanked Antwren,Hormiguerito Flanquialbo,,254,BIOPE,1
467,Passeriformes,Thamnophilidae,Myrmotherula,schisticolor,Myrmotherula schisticolor,Slaty Antwren,Hormiguerito Pizarroso,,60,1,
468,Passeriformes,Thamnophilidae,Myrmotherula,longipennis,Myrmotherula longipennis,Long-winged Antwren,Hormiguerito Alilargo,,79,BIOPE,
469,Passeriformes,Thamnophilidae,Myrmotherula,iheringi,Myrmotherula iheringi,Ihering's Antwren,Hormiguerito de Ihering,,30,ARA,
470,Passeriformes,Thamnophilidae,Myrmotherula,grisea,Myrmotherula grisea,Yungas Antwren,Hormiguerito Ceniciento,,3,,
471,Passeriformes,Thamnophilidae,Myrmotherula,menetriesii,Myrmotherula menetriesii,Grey Antwren,Hormiguerito Gris,,125,ARA,
472,Passeriformes,Thamnophilidae,Dichrozona,cincta,Dichrozona cincta,Banded Antbird,Hormiguero Bandeado,,75,,
473,Passeriformes,Thamnophilidae,Herpsilochmus,motacilloides,Herpsilochmus motacilloides,Creamy-bellied Antwren,Tiluchí Motaciloide,Endemico,13,,
474,Passeriformes,Thamnophilidae,Herpsilochmus,axillaris,Herpsilochmus axillaris,Yellow-breasted Antwren,Tiluchí Pechiamarillo,Vulnerable,46,,
475,Passeriformes,Thamnophilidae,Herpsilochmus,rufimarginatus,Herpsilochmus rufimarginatus,Rufous-winged Antwren,Tiluchí Alirrufo,,243,,
476,Passeriformes,Thamnophilidae,Microrhopias,quixensis,Microrhopias quixensis,Dot-winged Antwren,Hormiguerito del Quijos,,200,1,
477,Passeriformes,Thamnophilidae,Formicivora,rufa,Formicivora rufa,Rusty-backed Antwren,Hormiguerito Dorsirrufo,,123,1,
478,Passeriformes,Thamnophilidae,Drymophila,devillei,Drymophila devillei,Striated Antbird,Tiluchí Estriado Occidental,,107,1,
479,Passeriformes,Thamnophilidae,Drymophila,striaticeps,Drymophila striaticeps,Streak-headed Antbird,Tiluchí colilargo,,128,,
480,Passeriformes,Thamnophilidae,Hypocnemis,peruviana,Hypocnemis peruviana,Peruvian Warbling Antbird,Hormiguero Peruano,,144,,
481,Passeriformes,Thamnophilidae,Hypocnemis,subflava,Hypocnemis subflava,Yellow-breasted Warbling Antbird,Hormiguero pechiamarillo,,53,BIOPE,
482,Passeriformes,Thamnophilidae,Cercomacroides,serva,Cercomacroides serva,Black Antbird,Hormiguero Negro,,114,BIOPE,
483,Passeriformes,Thamnophilidae,Cercomacroides,nigrescens,Cercomacroides nigrescens,Blackish Antbird,Hormiguero Negruzco,,155,1,
484,Passeriformes,Thamnophilidae,Cercomacroides,fuscicauda,Cercomacroides fuscicauda,Riparian Antbird,Hormiguero ribereño,,67,,
485,Passeriformes,Thamnophilidae,Cercomacra,manu,Cercomacra manu,Manu Antbird,Hormiguero del Manu,,64,,
486,Passeriformes,Thamnophilidae,Cercomacra,cinerascens,Cercomacra cinerascens,Grey Antbird,Hormiguero Gris,,189,,
487,Passeriformes,Thamnophilidae,Pyriglena,maura,Pyriglena maura,NA,Hormiguero,,0,,
488,Passeriformes,Thamnophilidae,Myrmoborus,leucophrys,Myrmoborus leucophrys,White-browed Antbird,Hormiguero Cejiblanco,,200,BIOPE,
489,Passeriformes,Thamnophilidae,Myrmoborus,myotherinus,Myrmoborus myotherinus,Black-faced Antbird,Hormiguero Carinegro,Casi amenazada,305,BIOPE,1
490,Passeriformes,Thamnophilidae,Myrmoborus,lophotes,Myrmoborus lophotes,White-lined Antbird,Hormiguero Crestado,,58,1,
491,Passeriformes,Thamnophilidae,Hypocnemoides,maculicauda,Hypocnemoides maculicauda,Band-tailed Antbird,Hormiguero Colibandeado,,50,1,
492,Passeriformes,Thamnophilidae,Sclateria,naevia,Sclateria naevia,Silvered Antbird,Hormiguero Plateado,,145,,
493,Passeriformes,Thamnophilidae,Myrmelastes,hyperythrus,Myrmelastes hyperythrus,Plumbeous Antbird,Hormiguero Plomizo,,89,1,
494,Passeriformes,Thamnophilidae,Myrmelastes,leucostigma,Myrmelastes leucostigma,Spot-winged Antbird,Hormiguero Alimoteado,Raras/Accidentales,118,1,
495,Passeriformes,Thamnophilidae,Myrmelastes,humaythae,Myrmelastes humaythae,Humaita Antbird,Hormiguero de Humaitá,,22,,
496,Passeriformes,Thamnophilidae,Myrmelastes,brunneiceps,Myrmelastes brunneiceps,Brownish-headed Antbird,Hormiguero de Carabaya,,8,,
497,Passeriformes,Thamnophilidae,Sciaphylax,hemimelaena,Sciaphylax hemimelaena,Southern Chestnut-tailed Antbird,Hormiguero Colicastaño Sureño,,163,BIOPE,1
498,Passeriformes,Thamnophilidae,Akletos,melanoceps,Akletos melanoceps,White-shouldered Antbird,Hormiguero Hombroblanco,,52,,
499,Passeriformes,Thamnophilidae,Akletos,goeldii,Akletos goeldii,Goeldi's Antbird,Hormiguero de Goeldi,,79,1,
500,Passeriformes,Thamnophilidae,Hafferia,fortis,Hafferia fortis,Sooty Antbird,Hormiguero Tiznado,,95,1,
501,Passeriformes,Thamnophilidae,Myrmophylax,atrothorax,Myrmophylax atrothorax,Black-throated Antbird,Hormiguero Gorginegro,,220,1,
502,Passeriformes,Thamnophilidae,Oneillornis,salvini,Oneillornis salvini,White-throated Antbird,Hormiguero Gorgiblanco,,40,BIOPE,1
503,Passeriformes,Thamnophilidae,Rhegmatorhina,melanosticta,Rhegmatorhina melanosticta,Hairy-crested Antbird,Hormiguero Canoso,,56,1,
504,Passeriformes,Thamnophilidae,Hylophylax,naevius,Hylophylax naevius,Spot-backed Antbird,Hormiguero Dorsipunteado,,194,1,
505,Passeriformes,Thamnophilidae,Hylophylax,punctulatus,Hylophylax punctulatus,Dot-backed Antbird,Hormiguero Lomipunteado,,76,,
506,Passeriformes,Thamnophilidae,Willisornis,poecilinotus,Willisornis poecilinotus,Common Scale-backed Antbird,Hormiguero Dorsiescamado,,133,BIOPE,1
507,Passeriformes,Thamnophilidae,Phlegopsis,nigromaculata,Phlegopsis nigromaculata,Black-spotted Bare-eye,Hormiguero Maculado,,97,BIOPE,
508,Passeriformes,Thamnophilidae,Phlegopsis,erythroptera,Phlegopsis erythroptera,Reddish-winged Bare-eye,Hormiguero Alirrojo,,25,,
509,Passeriformes,Conopophagidae,Conopophaga,peruviana,Conopophaga peruviana,Ash-throated Gnateater,Jejenero Peruano,,14,1,2
510,Passeriformes,Conopophagidae,Conopophaga,ardesiaca,Conopophaga ardesiaca,Slaty Gnateater,Jejenero Pizarroso,,10,1,
511,Passeriformes,Grallariidae,Grallaria,guatimalensis,Grallaria guatimalensis,Scaled Antpitta,Tororoí Cholino,,111,,
512,Passeriformes,Grallariidae,Grallaria,eludens,Grallaria eludens,Elusive Antpitta,Tororoí del Ucayali,,13,x,2
513,Passeriformes,Grallariidae,Grallaria,albigula,Grallaria albigula,White-throated Antpitta,Tororoí Gorgiblanco,,58,,
514,Passeriformes,Grallariidae,Grallaria,erythroleuca,Grallaria erythroleuca,Red-and-white Antpitta,Tororoí de Cuzco,Endemico,30,,
515,Passeriformes,Grallariidae,Hylopezus,berlepschi,Hylopezus berlepschi,Amazonian Antpitta,Tororoí Amazónico,,64,,
516,Passeriformes,Grallariidae,Myrmothera,campanisona,Myrmothera campanisona,Thrush-like Antpitta,Tororoí Campanero,,173,x,2
517,Passeriformes,Grallariidae,Grallaricula,flavirostris,Grallaricula flavirostris,Ochre-breasted Antpitta,Ponchito Ocráceo,,44,,
518,Passeriformes,Grallariidae,Grallaricula,leymebambae,Grallaricula leymebambae,Rufous-breasted Antpitta,Ponchito pechicastaño norteño,,42,,
519,Passeriformes,Rhinocryptidae,Liosceles,thoracicus,Liosceles thoracicus,Rusty-belted Tapaculo,Tapaculo Amazónico,,106,1,2
520,Passeriformes,Rhinocryptidae,Scytalopus,atratus,Scytalopus atratus,Northern White-crowned Tapaculo,Churrín Coroniblanco,,172,,
521,Passeriformes,Rhinocryptidae,Scytalopus,bolivianus,Scytalopus bolivianus,Bolivian White-crowned Tapaculo,Churrín Boliviano,,25,,
522,Passeriformes,Rhinocryptidae,Scytalopus,simonsi,Scytalopus simonsi,Puna Tapaculo,Churrín de la Puna,,26,,
523,Passeriformes,Rhinocryptidae,Scytalopus,schulenbergi,Scytalopus schulenbergi,Diademed Tapaculo,Churrín Diademado,,27,,
524,Passeriformes,Formicariidae,Formicarius,colma,Formicarius colma,Rufous-capped Antthrush,Formicario Capirrojo,,177,"BIOPE, amazoncam",1
525,Passeriformes,Formicariidae,Formicarius,analis,Formicarius analis,Black-faced Antthrush,Chululú Enmascarado,,312,"BIOPE, amazoncam",2
526,Passeriformes,Formicariidae,Formicarius,rufifrons,Formicarius rufifrons,Rufous-fronted Antthrush,Formicario Frentirrufo,,27,BIOPE,
527,Passeriformes,Formicariidae,Formicarius,rufipectus,Formicarius rufipectus,Rufous-breasted Antthrush,Formicario Pechirrufo,,85,,
528,Passeriformes,Formicariidae,Chamaeza,campanisona,Chamaeza campanisona,Short-tailed Antthrush,Tovacá Colicorto,,274,1,
529,Passeriformes,Formicariidae,Chamaeza,nobilis,Chamaeza nobilis,Striated Antthrush,Tovacá Noble,,47,amazoncam,2
530,Passeriformes,Furnariidae,Sclerurus,mexicanus,Sclerurus mexicanus,Tawny-throated Leaftosser,Tirahojas Mexicano,,35,"1, amazoncam",
531,Passeriformes,Furnariidae,Sclerurus,caudacutus,Sclerurus caudacutus ,Black-tailed Leaftosser,Tirahojas Colinegro,,63,1,
532,Passeriformes,Furnariidae,Sclerurus,albigularis,Sclerurus albigularis,Grey-throated Leaftosser,Tirahojas Gorgigrís,,80,1,
533,Passeriformes,Furnariidae,Sittasomus,griseicapillus,Sittasomus griseicapillus,Olivaceous Woodcreeper,Trepatroncos Oliváceo,,321,1,
534,Passeriformes,Furnariidae,Deconychura,longicauda,Deconychura longicauda,Long-tailed Woodcreeper,Trepatroncos Colilargo,,77,BIOPE,
535,Passeriformes,Furnariidae,Dendrocincla,merula,Dendrocincla merula,White-chinned Woodcreeper,Trepatroncos Barbiblanco,,32,BIOPE,
536,Passeriformes,Furnariidae,Dendrocincla,fuliginosa,Dendrocincla fuliginosa,Plain-brown Woodcreeper,Trepatroncos Fuliginoso,,216,BIOPE,
537,Passeriformes,Furnariidae,Glyphorynchus,spirurus,Glyphorynchus spirurus,Wedge-billed Woodcreeper,Trepatroncos Picocuña,,194,BIOPE,1
538,Passeriformes,Furnariidae,Dendrexetastes,rufigula,Dendrexetastes rufigula,Cinnamon-throated Woodcreeper,Trepatroncos Gorgicanelo,,109,,
539,Passeriformes,Furnariidae,Nasica,longirostris,Nasica longirostris,Long-billed Woodcreeper,Trepatroncos Piquilargo,,84,1,
540,Passeriformes,Furnariidae,Dendrocolaptes,certhia,Dendrocolaptes certhia,Amazonian Barred Woodcreeper,Trepatroncos Barrado Amazónico,,158,1,
541,Passeriformes,Furnariidae,Dendrocolaptes,picumnus,Dendrocolaptes picumnus,Black-banded Woodcreeper,Trepatroncos Variable,,127,BIOPE,
542,Passeriformes,Furnariidae,Hylexetastes,stresemanni,Hylexetastes stresemanni,Bar-bellied Woodcreeper,Trepatroncos de Stresemann,,14,1,
543,Passeriformes,Furnariidae,Xiphocolaptes,promeropirhynchus,Xiphocolaptes promeropirhynchus,Strong-billed Woodcreeper,Trepatroncos Picofuerte,,182,,
544,Passeriformes,Furnariidae,Xiphorhynchus,obsoletus,Xiphorhynchus obsoletus,Striped Woodcreeper,Trepatroncos Loco,,80,,
545,Passeriformes,Furnariidae,Xiphorhynchus,ocellatus,Xiphorhynchus ocellatus,Ocellated Woodcreeper,Trepatronco Ocelado,,17,1,
546,Passeriformes,Furnariidae,Xiphorhynchus,elegans,Xiphorhynchus elegans,Elegant Woodcreeper,Trepatroncos Elegante,,81,BIOPE,1
547,Passeriformes,Furnariidae,Xiphorhynchus,guttatus,Xiphorhynchus guttatus,Buff-throated Woodcreeper,Trepatroncos Pegón,,370,BIOPE,
548,Passeriformes,Furnariidae,Xiphorhynchus,triangularis,Xiphorhynchus triangularis,Olive-backed Woodcreeper,Trepatroncos Dorsioliva,,46,1,
549,Passeriformes,Furnariidae,Dendroplex,picus,Dendroplex picus,Straight-billed Woodcreeper,Trepatroncos Piquirrecto,,190,1,
550,Passeriformes,Furnariidae,Campylorhamphus,trochilirostris,Campylorhamphus trochilirostris,Red-billed Scythebill,Picoguadaña Piquirrojo,,182,BIOPE,
551,Passeriformes,Furnariidae,Lepidocolaptes,lacrymiger,Lepidocolaptes lacrymiger,Montane Woodcreeper,Trepatroncos Montano,,76,,
552,Passeriformes,Furnariidae,Lepidocolaptes,fatimalimae,Lepidocolaptes fatimalimae,Inambari Woodcreeper,Trepatrocos del Inambari,,15,,
553,Passeriformes,Furnariidae,Lepidocolaptes,fuscicapillus,Lepidocolaptes fuscicapillus,Rondonia Woodcreeper,Trepatroncos cabecipardo,,9,,
554,Passeriformes,Furnariidae,Xenops,tenuirostris,Xenops tenuirostris,Slender-billed Xenops,Picolezna Picofino,,10,,
555,Passeriformes,Furnariidae,Xenops,minutus,Xenops minutus,Plain Xenops,Picolezna Menudo,,214,BIOPE,1
556,Passeriformes,Furnariidae,Xenops,rutilans,Xenops rutilans,Streaked Xenops,Picolezna Rojizo,,126,ARA,
557,Passeriformes,Furnariidae,Berlepschia,rikeri,Berlepschia rikeri,Point-tailed Palmcreeper,Palmero,,55,,
558,Passeriformes,Furnariidae,Microxenops,milleri,Microxenops milleri,Rufous-tailed Xenops,Picolezna Colirrufo,,19,,
559,Passeriformes,Furnariidae,Premnornis,guttuliger,Premnornis guttuliger,Rusty-winged Barbtail,Subepalo Alirrojizo,,16,,
560,Passeriformes,Furnariidae,Furnarius,leucopus,Furnarius leucopus,Pale-legged Hornero,Hornero Paticlaro,,70,1,
561,Passeriformes,Furnariidae,Lochmias,nematura,Lochmias nematura,Sharp-tailed Streamcreeper,Riachuelero,,135,,
562,Passeriformes,Furnariidae,Phleocryptes,melanops,Phleocryptes melanops,Wren-like Rushbird,Junquero,,115,,
563,Passeriformes,Furnariidae,Cinclodes,albiventris,Cinclodes albiventris,Cream-winged Cinclodes,Remolinera común meridional,,40,,
564,Passeriformes,Furnariidae,Anabazenops,dorsalis,Anabazenops dorsalis,Bamboo Foliage-gleaner,Ticotico Carioscuro,,50,1,
