Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Coragyps atratus,Black Vulture,0.3328
3.0,6.0,Coragyps atratus,Black Vulture,0.5335
3.0,6.0,Human non-vocal,Human non-vocal,0.2359
9.0,12.0,Human non-vocal,Human non-vocal,0.1544
