Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Myiozetetes cayanensis,Rusty-margined Flycatcher,0.9980
3.0,6.0,Myiozetetes cayanensis,Rusty-margined Flycatcher,0.9883
6.0,9.0,Meleagris gallopavo,Wild Turkey,0.1432
9.0,12.0,Turdus plumbeus,Red-legged Thrush,0.6496
15.0,18.0,Melanerpes candidus,White Woodpecker,0.9845
18.0,21.0,Corvus macrorhynchos,Large-billed Crow,0.4126
18.0,21.0,Gavia stellata,Red-throated Loon,0.1050
21.0,24.0,Strix aluco,Tawny Owl,0.5282
24.0,27.0,Myiozetetes cayanensis,Rusty-margined Flycatcher,0.9594
27.0,30.0,Myiozetetes cayanensis,Rusty-margined Flycatcher,0.4799
