Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Cyanomitra olivacea,Olive Sunbird,0.2501
3.0,6.0,Cyanomitra olivacea,Olive Sunbird,0.6568
6.0,9.0,Cyanomitra olivacea,Olive Sunbird,0.3178
