Start (s),End (s),Scientific name,Common name,Confidence
3.0,6.0,Tyrannus verticalis,Western Kingbird,0.4373
3.0,6.0,Dendrocincla fuliginosa,Plain-brown Woodcreeper,0.2627
9.0,12.0,Myiozetetes granadensis,Gray-capped Flycatcher,0.6121
15.0,18.0,Crypturellus cinereus,Cinereous Tinamou,0.1808
18.0,21.0,Tolmomyias flaviventris,Yellow-breasted Flycatcher,0.9494
18.0,21.0,Myiarchus tuberculifer,Dusky-capped Flycatcher,0.1970
18.0,21.0,Attila cinnamomeus,Cinnamon Attila,0.1059
24.0,27.0,Myiozetetes granadensis,Gray-capped Flycatcher,0.8557
27.0,30.0,Pachyramphus polychopterus,White-winged Becard,0.2550
30.0,33.0,Myiarchus tuberculifer,Dusky-capped Flycatcher,0.2767
30.0,33.0,Myiarchus swainsoni,Swainson's Flycatcher,0.1625
30.0,33.0,Attila cinnamomeus,Cinnamon Attila,0.1382
33.0,36.0,Synallaxis gujanensis,Plain-crowned Spinetail,0.3590
33.0,36.0,Myiozetetes granadensis,Gray-capped Flycatcher,0.2299
36.0,39.0,Myiarchus tuberculifer,Dusky-capped Flycatcher,0.4174
39.0,42.0,Thamnophilus schistaceus,Plain-winged Antshrike,0.2150
39.0,42.0,Sclateria naevia,Silvered Antbird,0.1448
39.0,42.0,Trogon ramonianus,Amazonian Trogon,0.1002
42.0,45.0,Myiozetetes granadensis,Gray-capped Flycatcher,0.6838
45.0,48.0,Crypturellus cinereus,Cinereous Tinamou,0.3407
48.0,51.0,Myiozetetes granadensis,Gray-capped Flycatcher,0.9007
48.0,51.0,Mionectes oleagineus,Ochre-bellied Flycatcher,0.1935
51.0,54.0,Myiarchus tuberculifer,Dusky-capped Flycatcher,0.1894
51.0,54.0,Celeus flavus,Cream-colored Woodpecker,0.1234
51.0,54.0,Sittasomus griseicapillus,Olivaceous Woodcreeper,0.1017
54.0,57.0,Myiarchus tuberculifer,Dusky-capped Flycatcher,0.3184
57.0,60.0,Myiozetetes granadensis,Gray-capped Flycatcher,0.6395
60.0,63.0,Crypturellus cinereus,Cinereous Tinamou,0.8657
63.0,66.0,Dendrocincla fuliginosa,Plain-brown Woodcreeper,0.1931
66.0,69.0,Crypturellus cinereus,Cinereous Tinamou,0.9001
66.0,69.0,Dendrocincla fuliginosa,Plain-brown Woodcreeper,0.3665
66.0,69.0,Dendrexetastes rufigula,Cinnamon-throated Woodcreeper,0.1017
69.0,72.0,Crypturellus cinereus,Cinereous Tinamou,0.7346
69.0,72.0,Pachyramphus polychopterus,White-winged Becard,0.1966
72.0,75.0,Myiozetetes granadensis,Gray-capped Flycatcher,0.1982
75.0,78.0,Myiozetetes granadensis,Gray-capped Flycatcher,0.7261
78.0,81.0,Myiozetetes granadensis,Gray-capped Flycatcher,0.7814
81.0,84.0,Myiozetetes granadensis,Gray-capped Flycatcher,0.1237
