Start (s),End (s),Scientific name,Common name,Confidence
3.0,6.0,Setophaga cerulea,Cerulean Warbler,0.9989
9.0,12.0,Setophaga caerulescens,Black-throated Blue Warbler,0.2127
9.0,12.0,Contopus virens,Eastern Wood-Pewee,0.1044
9.0,12.0,Setophaga fusca,Blackburnian Warbler,0.1012
12.0,15.0,Helmitheros vermivorum,Worm-eating Warbler,0.9857
15.0,18.0,Helmitheros vermivorum,Worm-eating Warbler,0.7720
18.0,21.0,Setophaga magnolia,Magnolia Warbler,0.1807
18.0,21.0,Setophaga citrina,Hooded Warbler,0.1472
21.0,24.0,Setophaga caerulescens,Black-throated Blue Warbler,0.1379
27.0,30.0,Setophaga cerulea,Cerulean Warbler,0.9987
33.0,36.0,Sphyrapicus varius,Yellow-bellied Sapsucker,0.1128
36.0,39.0,Setophaga caerulescens,Black-throated Blue Warbler,0.2857
39.0,42.0,Setophaga cerulea,Cerulean Warbler,0.9949
45.0,48.0,Setophaga caerulescens,Black-throated Blue Warbler,0.1028
48.0,51.0,Setophaga cerulea,Cerulean Warbler,0.9997
51.0,54.0,Setophaga cerulea,Cerulean Warbler,0.4955
51.0,54.0,Setophaga americana,Northern Parula,0.2907
51.0,54.0,Helmitheros vermivorum,Worm-eating Warbler,0.1778
51.0,54.0,Setophaga caerulescens,Black-throated Blue Warbler,0.1352
51.0,54.0,Pyrrhomyias cinnamomeus,Cinnamon Flycatcher,0.1114
54.0,57.0,Polioptila californica,California Gnatcatcher,0.1025
57.0,60.0,Setophaga cerulea,Cerulean Warbler,0.3480
60.0,63.0,Setophaga cerulea,Cerulean Warbler,0.9999
63.0,66.0,Helmitheros vermivorum,Worm-eating Warbler,0.9669
66.0,69.0,Setophaga citrina,Hooded Warbler,0.1536
66.0,69.0,Setophaga caerulescens,Black-throated Blue Warbler,0.1517
66.0,69.0,Helmitheros vermivorum,Worm-eating Warbler,0.1219
66.0,69.0,Melanerpes carolinus,Red-bellied Woodpecker,0.1028
69.0,72.0,Setophaga cerulea,Cerulean Warbler,0.9985
72.0,75.0,Human non-vocal,Human non-vocal,0.1344
78.0,81.0,Setophaga cerulea,Cerulean Warbler,0.9987
81.0,84.0,Setophaga americana,Northern Parula,0.1282
84.0,87.0,Empidonax virescens,Acadian Flycatcher,0.3335
87.0,90.0,Setophaga striata,Blackpoll Warbler,0.1725
87.0,90.0,Helmitheros vermivorum,Worm-eating Warbler,0.1333
93.0,96.0,Contopus virens,Eastern Wood-Pewee,0.6996
96.0,99.0,Setophaga cerulea,Cerulean Warbler,0.1423
96.0,99.0,Helmitheros vermivorum,Worm-eating Warbler,0.1389
99.0,102.0,Helmitheros vermivorum,Worm-eating Warbler,0.9284
102.0,105.0,Setophaga caerulescens,Black-throated Blue Warbler,0.1542
105.0,108.0,Helmitheros vermivorum,Worm-eating Warbler,0.1967
105.0,108.0,Tamias striatus,Eastern Chipmunk,0.1128
108.0,111.0,Setophaga americana,Northern Parula,0.5481
108.0,111.0,Setophaga cerulea,Cerulean Warbler,0.1060
114.0,117.0,Helmitheros vermivorum,Worm-eating Warbler,0.9677
114.0,117.0,Limnothlypis swainsonii,Swainson's Warbler,0.1370
117.0,120.0,Helmitheros vermivorum,Worm-eating Warbler,0.7167
117.0,120.0,Setophaga americana,Northern Parula,0.2736
120.0,123.0,Setophaga cerulea,Cerulean Warbler,0.9990
123.0,126.0,Setophaga cerulea,Cerulean Warbler,0.8539
123.0,126.0,Setophaga virens,Black-throated Green Warbler,0.1149
126.0,129.0,Empidonax minimus,Least Flycatcher,0.1598
129.0,132.0,Setophaga cerulea,Cerulean Warbler,0.9833
132.0,135.0,Setophaga cerulea,Cerulean Warbler,1.0000
135.0,138.0,Setophaga fusca,Blackburnian Warbler,0.1629
135.0,138.0,Setophaga citrina,Hooded Warbler,0.1600
135.0,138.0,Empidonax virescens,Acadian Flycatcher,0.1274
135.0,138.0,Setophaga virens,Black-throated Green Warbler,0.1197
138.0,141.0,Setophaga americana,Northern Parula,0.4025
141.0,144.0,Setophaga cerulea,Cerulean Warbler,0.2645
144.0,147.0,Setophaga cerulea,Cerulean Warbler,0.9422
156.0,159.0,Setophaga cerulea,Cerulean Warbler,0.9908
165.0,168.0,Helmitheros vermivorum,Worm-eating Warbler,0.5601
165.0,168.0,Setophaga striata,Blackpoll Warbler,0.2248
168.0,171.0,Helmitheros vermivorum,Worm-eating Warbler,0.6121
168.0,171.0,Setophaga striata,Blackpoll Warbler,0.1765
171.0,174.0,Helmitheros vermivorum,Worm-eating Warbler,0.8854
171.0,174.0,Setophaga striata,Blackpoll Warbler,0.1375
174.0,177.0,Helmitheros vermivorum,Worm-eating Warbler,0.8629
174.0,177.0,Setophaga striata,Blackpoll Warbler,0.1287
174.0,177.0,Setophaga cerulea,Cerulean Warbler,0.1171
177.0,180.0,Setophaga americana,Northern Parula,0.3100
177.0,180.0,Setophaga cerulea,Cerulean Warbler,0.2564
180.0,183.0,Setophaga cerulea,Cerulean Warbler,0.9992
183.0,186.0,Myadestes occidentalis,Brown-backed Solitaire,0.5163
183.0,186.0,Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,0.1810
183.0,186.0,Phylloscopus coronatus,Eastern Crowned Warbler,0.1592
186.0,189.0,Setophaga cerulea,Cerulean Warbler,0.9998
189.0,192.0,Helmitheros vermivorum,Worm-eating Warbler,0.7701
189.0,192.0,Contopus virens,Eastern Wood-Pewee,0.1640
