0	3.0	0.6336475,0.2374767,0.97717047,0.3652301,0.39554268,0.74101806,1.3075402,0.70127904,0.1634041,1.0556852,0.575131,1.1781466,1.1975684,0.40450734,1.0929606,0.17726219,0.32353172,0.9598838,0.5310956,0.0432055,0.9009031,0.4718182,0.6728635,0.5152789,1.0409961,0.4975909,0.631757,0.44156492,0.285753,1.5302477,0.65944564,0.99172425,0.33433563,0.5960406,0.09696105,0.42018002,0.9717328,1.5911622,0.7953005,0.37590623,0.8736368,1.3450242,0.23567668,0.72372377,0.6281588,0.3832935,0.17295682,0.28152132,0.9077704,0.29111856,0.68324125,0.36507377,0.41148943,0.8541944,1.0769676,0.9194344,0.6391895,0.66391295,0.121291965,1.1263943,0.9436708,0.28775245,1.2410724,0.2709123,0.9193039,0.73399866,0.91153723,0.9882139,0.56334394,0.82067287,0.17115775,1.1195005,1.1255826,0.9780407,1.1587675,1.9061286,0.71822995,0.29275027,0.095710576,0.37963945,0.61633927,0.7029474,0.93622655,0.99442494,0.45478204,0.2584448,0.96170413,0.27647975,0.9733322,0.5309192,0.9758607,0.6038171,0.3927564,0.44093597,1.4828715,0.63572454,0.7275362,0.4949957,1.190428,1.5640767,0.62901914,1.1168493,0.44963944,0.19121945,0.6631379,0.11351514,0.20560372,1.3195502,0.51723284,1.1502427,0.52097774,0.69528323,0.32233602,0.9632387,1.611301,1.065254,0.6726387,0.8862129,1.2822752,0.71904,0.57171935,0.427626,1.1569784,0.11987007,0.8777939,0.16489714,0.7169494,1.4710734,0.6758262,0.10290143,0.53207296,0.61833113,0.19439614,2.4902303,0.625345,0.77537453,0.79519373,0.7076191,0.26355422,0.018005162,0.3714797,0.42272562,0.98965734,0.22959816,0.4172927,0.2158036,0.053661287,0.29164162,0.9737351,1.0734704,0.8682172,1.163234,0.3580147,1.5622253,0.6578555,1.6248561,0.34424663,0.24113718,0.40669662,0.32287335,0.037406176,0.662412,0.86146885,0.586524,0.84326196,0.8011681,0.01909098,0.26138493,0.44151962,0.39600074,0.46528304,1.4027858,0.3506227,0.5571501,1.3763039,0.44006473,1.1396137,0.5995775,0.2768684,1.0939995,0.8834559,0.07974604,0.14972883,0.5118771,0.71757567,0.46432388,0.24775171,0.7393079,0.916822,1.4884049,0.6614623,1.0160568,0.7498136,0.71366847,0.7479437,1.3100442,1.07083,0.67617416,0.29205292,0.94279784,1.0670705,1.5554533,0.1047045,1.0391144,0.21189812,1.032054,0.13189298,0.43076062,0.2905741,0.6535013,1.1775815,0.7265753,0.08127645,0.8984989,1.3218272,0.88334227,0.58430225,1.1122152,0.46547395,0.6945993,2.0175068,0.3405345,0.34551084,0.0,0.47306415,0.48394224,0.8993844,0.22052658,0.57747954,0.17321855,0.5104014,1.4332106,0.42111623,0.5831504,0.819806,0.7349438,0.5383514,0.28091347,0.22563824,0.79256266,1.2352753,0.85885847,0.76181823,0.45624703,1.1142986,1.4864047,1.1197567,0.39862394,1.2584575,0.7774626,0.7691512,0.7339493,0.83269954,1.016893,0.04113196,0.30356354,1.0484934,0.9438919,0.29791296,1.4987061,1.5571971,0.3315322,2.081832,0.68239605,0.31636852,0.33529645,1.7360429,0.16614395,0.50442344,0.8095041,0.58102155,0.81424904,0.0153910145,0.700412,0.77973545,0.89895743,0.4283498,0.6123518,0.4324492,0.85428965,0.43674377,0.49513996,1.7916532,0.6989665,0.8972784,0.050203174,0.777452,1.4105321,0.21683964,0.19429123,0.17557165,0.25930762,0.78965753,0.04286295,0.3426531,1.3983213,0.31897223,0.70354027,0.24058741,0.14215082,0.20471168,0.9093636,1.2864735,1.1642607,0.1087054,0.7333838,0.8980359,0.08405885,0.5659511,1.1701862,0.3118001,0.62944674,1.4621167,0.86360884,0.97965634,0.7177861,1.3724703,0.8220216,0.9017786,0.8938191,0.5534387,0.7919039,0.17567873,0.90244526,0.8271245,0.5510379,0.7227089,0.18400425,1.2493453,0.3333615,0.73937494,0.3875929,1.3687136,0.82761043,0.43741888,0.33375448,1.15406,0.63911724,1.9077659,0.2697615,0.62054247,0.7484193,0.25784653,0.6535987,0.9808886,0.44848412,0.71211743,0.7020731,0.98792785,0.58554053,0.6408831,1.3504031,0.45216268,0.591758,0.38480574,0.4978851,0.6553822,0.8528273,0.06635584,0.46242094,0.3619048,0.09331179,1.6379781,0.10655621,0.33501923,1.2668085,1.308965,0.6450316,0.36806083,0.33309925,0.5708251,0.6653967,0.24278641,0.5826748,1.497087,1.3610597,1.1742156,0.95086586,0.8485244,0.1101453,0.29796457,0.70254064,0.44739354,0.28410563,0.16367033,1.0903728,0.44203752,0.8796849,1.2364326,0.747177,0.2966106,0.64357257,0.48444438,0.52289367,0.45652127,0.9084806,0.060790345,0.8039159,0.25663626,1.4736902,1.2523296,0.72684544,0.34652817,0.29930252,0.8530061,0.3789791,0.61445963,0.6477572,0.9948046,1.948964,0.017719135,0.30409336,0.34444195,0.9079461,0.8590085,0.94350183,1.6055733,1.8142207,0.63111246,0.7387438
3.0	6.0	0.48543116,0.26204917,0.6880412,0.6196527,0.10819939,0.705037,1.2369711,0.47024822,0.66971564,0.97745585,0.73951346,1.1143603,1.2317417,0.43641925,0.51046246,0.42291844,0.68644273,0.53154,0.45388,0.06918636,1.0108604,0.29049185,0.40278268,0.73420566,0.3456483,1.1633658,0.4631817,0.5020391,0.26180997,0.631428,0.36932343,1.5508835,0.31523365,0.4325407,0.25095713,0.36818632,0.67824006,1.6882491,0.4627741,0.41066653,0.5994408,1.0383513,0.07645854,0.88346857,0.30509597,0.1127404,0.4457253,0.33400792,0.6894515,0.2719112,0.7358739,0.6770667,0.6556791,0.7983454,0.67862105,0.37754047,1.3178799,0.68770945,0.27890044,1.6243598,1.0993799,0.20941097,0.7583328,0.033313274,1.358125,0.18184865,0.8796699,0.49415082,0.5127434,0.929626,0.34999934,1.1232157,0.6492559,0.9008148,0.6763692,1.2006776,0.56321806,0.51710784,0.21623337,0.4339301,0.91195124,0.56605816,0.83934724,1.1987944,0.80588245,0.67337275,0.6153922,0.5827896,0.9477295,0.662294,0.98156494,0.5927806,0.2914069,0.8407971,0.8886214,0.5691731,0.5490007,0.545575,1.2509778,1.9588168,0.89969355,0.6021181,0.82646376,0.32566524,0.28201717,0.18172422,0.049285665,0.85460055,1.0118186,0.9633707,0.40791065,0.35965177,0.96748257,0.6848091,1.3602141,0.6264467,0.63630694,1.469541,1.3636818,0.6307286,0.12968394,0.353395,0.9884796,0.4701528,0.57591826,0.9338923,0.8177804,0.6723496,0.36311176,0.3267181,0.97653615,0.8523153,0.53587943,2.9307356,0.3083275,0.4925719,0.734607,0.98710597,0.27382013,0.20540923,0.34419373,0.3000379,0.93749315,0.39811778,0.71356493,0.7602788,0.13620782,0.47746772,0.303078,0.4718557,1.2501402,0.85494393,0.42071882,1.7273225,0.39519173,1.2713772,0.31084037,0.8520988,0.80531824,0.03724441,0.30254513,0.3555681,0.56519336,0.8064014,1.2641046,0.7685418,0.19640303,0.47013614,0.0,0.6446485,0.94215494,0.82885706,0.20533538,0.20121348,0.7668521,0.80689,1.286117,0.68440586,0.028573304,1.264775,0.62100494,0.3875798,0.22006512,0.7759304,0.81543857,0.4054432,0.07575591,1.1357787,0.86087906,0.7619363,0.8873452,1.1969216,0.7124003,1.0686485,0.29760885,1.2882823,1.0915275,0.9845233,1.1476835,0.862851,0.7327629,0.67229944,0.04662159,0.448121,0.60895956,1.024039,0.57608694,0.6145157,0.5918244,0.5520006,1.4630356,0.8670639,0.24756896,0.6651361,1.4721068,1.166919,1.0073041,1.1189438,0.90657896,0.27847928,1.0863035,0.067026496,0.15996909,0.42518306,0.5081406,0.16094002,0.24700841,0.03796789,0.14776418,0.5511177,0.8562404,1.8551884,0.48288745,0.9626518,0.31552184,0.42479742,0.50186884,0.8092127,0.3093529,1.1792811,0.99282694,1.2631011,0.7410011,0.6010324,0.22847795,0.9678601,0.763326,0.47058484,1.0235969,1.2930815,0.9381836,0.42806566,0.813426,0.30398455,0.38688225,0.37853545,1.3157196,0.95506,0.29328713,1.3399731,1.1528267,0.8699003,0.9234264,0.7994517,0.26346534,0.38992876,0.7336747,0.67175424,0.29557398,0.93072015,0.70768476,0.6968874,0.2862394,0.90636945,1.3057243,0.667282,0.055029184,0.6155439,0.66533643,0.5511638,0.6445256,0.38687503,1.2861909,1.0286543,0.5251519,0.3183145,0.905018,0.59987813,0.39932275,0.26149404,0.783841,0.35412696,0.8559819,0.12631097,0.3758734,0.66032475,0.9965715,0.5604694,0.3862989,0.17997804,0.4729228,0.95103985,0.77887315,0.95938426,0.0,0.3585605,0.6876268,0.23603755,0.8824286,1.1154572,0.48237282,1.1133623,1.0893075,1.0918124,0.50419366,0.47498906,0.8901569,0.60277146,0.5916976,0.89440185,0.39594996,0.93072444,0.06740144,0.84892046,0.65114766,0.8434663,0.5262246,0.49944496,1.2707239,0.6399976,0.76970255,0.62350756,1.1240007,0.80673814,0.41436413,0.70340323,0.86601406,0.5136031,1.106556,0.36648765,0.5099775,0.68274313,0.56585747,0.4455504,1.3015084,1.1993074,0.7040333,0.6280327,0.26577938,0.52930665,0.19556665,1.797981,0.5015279,1.1523678,0.22909331,0.8072641,0.8052927,0.9475194,0.16892979,0.2089653,0.18312693,0.46541712,1.7214832,0.74682254,0.14611602,0.8531278,1.5816818,0.22702521,0.61225116,0.47330177,0.3766504,0.78320223,0.33472896,0.45610636,1.2040682,0.5085139,1.1065248,0.56078744,0.53614473,0.009541575,0.6688112,1.0622313,0.68629724,0.47488284,0.4929533,1.0428306,0.28035432,0.87607104,0.50916994,0.9068252,0.3817922,0.32851294,0.45365614,0.7628514,0.58981895,0.6677777,0.0,0.97201025,0.0657469,0.5514756,1.0049973,0.74537414,0.27691695,0.32699883,0.42271385,0.39895937,1.077371,0.8289994,0.7757568,0.8219524,0.74168444,0.12147269,0.3210527,1.1760776,0.40117818,0.99434805,1.0573614,1.6092005,0.30247408,0.82531756
6.0	9.0	0.8403139,0.32903898,1.1701962,0.29812872,0.5911415,0.5454905,0.93634486,0.19208917,0.6984604,0.5665942,0.8615226,1.5291067,1.1489375,0.96436054,0.7426072,0.44477165,0.61974174,1.0607727,0.7886521,0.2505715,1.2406483,0.9119673,0.56331086,0.7388479,0.28867102,1.4122527,1.2243685,0.6704743,0.92883384,1.0596275,0.74743,1.7586079,0.0635086,0.37823236,0.36713398,0.7723691,1.106904,1.8010159,0.22995776,0.4193243,0.38475406,1.3295573,0.018095732,0.41471475,0.17713024,0.622017,0.3615526,0.7905708,1.1158941,0.5386334,0.49316037,0.24297845,0.5890979,0.889602,0.77138823,0.73928547,0.63331795,0.99248785,0.63640153,1.953458,1.0759277,0.3888576,0.8050512,0.1926871,1.3477982,0.9189409,0.7357915,0.7743261,0.06305367,1.1686695,0.6832901,0.66346824,1.2597041,0.84930044,0.23247838,1.1206205,1.3218808,0.3052985,0.31082308,0.5609431,1.1659437,0.31403077,0.7757301,0.8811252,1.0484262,0.6274653,0.8104329,0.5364086,1.3215952,0.48139715,0.33664936,0.6237671,0.45881438,0.709962,1.0771685,0.7462179,0.12540779,0.5859931,0.8895051,1.4547358,1.169769,1.2591032,0.4609024,0.26619488,0.73047626,0.41114646,0.7489167,0.94388545,1.0145061,1.0286993,0.9472486,0.62280965,0.7925858,1.1170827,1.5549123,0.8642302,0.93068796,1.1561892,2.0674987,0.50200176,0.9044473,0.6464887,0.7841473,0.72351843,0.5452295,0.29706854,1.0031248,0.50262505,0.5840019,0.7546534,0.887149,1.2103908,0.8008994,2.4052296,1.7426438,0.7088301,0.68174994,0.971889,0.4972651,0.3299201,0.40686613,0.10710701,1.3297546,0.24798447,0.6153309,0.7001296,0.41481632,0.5931868,1.1585159,0.8032666,0.7899921,0.47906506,0.30054313,2.2655387,0.3997844,1.0547695,0.55959475,0.94358194,0.8036212,0.15803671,0.02911584,0.57168174,0.5880855,0.4422261,1.4933429,0.7695673,0.0,0.22687954,0.47941387,0.55905724,0.8700598,0.7297518,0.06567222,0.38400578,0.82130885,0.596592,0.7205176,0.47915304,0.008629985,1.6103666,0.3707196,0.51722336,0.13934347,0.439286,1.4177225,0.3224222,0.28262877,1.3613622,1.1440213,0.68348444,1.1599407,1.5079525,1.1057274,0.51340264,0.8676738,1.431017,1.411248,1.307677,0.8676632,0.57766426,0.6710617,1.2393682,0.27883184,0.7395686,0.39748597,0.30093506,0.58584934,0.4398417,0.83402455,0.85480326,1.9258918,0.8943689,0.21249866,0.8926566,1.6411824,0.7512517,0.7271123,0.88460535,0.76796174,0.47302383,0.5070452,0.83069736,0.22620773,0.84286207,0.53122747,0.3158142,0.57217795,0.31688792,0.15723565,0.5003001,1.7056236,1.4669932,0.11238751,1.2752943,0.42000043,0.5997465,0.3298697,0.71656334,0.563478,1.5281454,1.2644367,2.024384,1.2141898,0.111549795,0.5823978,0.71812403,1.3335696,0.5540263,1.2596942,0.93148196,0.9706907,1.078006,0.8607676,0.47109675,0.3563422,0.7526927,1.5641792,0.73007584,1.1212465,1.4776334,1.5557045,0.64300823,1.1445432,0.6578336,0.25268233,0.50059664,0.24790639,0.6673297,1.1686474,0.9072083,1.0323946,0.8676276,0.96750426,0.8526006,1.129219,0.8830776,0.62979966,0.6295,0.7922096,0.7592831,0.54354304,0.9181125,1.6990347,0.82882833,0.23088282,0.38035995,0.7203916,1.1391485,0.6650087,0.3645168,0.9457021,0.99700165,0.8854144,0.1754744,0.3852318,1.7700722,0.52802515,0.6911798,0.32749394,0.43118852,0.34299457,0.8946485,0.76898307,1.5060527,0.06358996,0.5429771,0.67963696,0.1011745,0.30013245,1.2657443,0.23256224,1.0066001,1.6003811,0.37878805,0.7570078,0.5178268,0.86639124,0.8877608,1.060912,1.3942995,0.6275346,1.1201624,0.17950895,0.8478303,1.0261881,1.3542359,0.8650625,0.64197254,1.1018928,0.07230595,0.6175076,0.31710124,1.4103649,1.3507481,0.7660613,0.38017613,0.94116986,0.20556176,0.8934086,0.07301223,0.6106511,0.8136955,0.96031517,0.3309782,0.7285811,0.9500995,0.40028918,0.8142559,0.6394812,1.8944823,0.4500999,1.5253582,0.3550846,0.8082203,0.4546672,0.5891739,0.6369563,1.1732535,0.19392556,0.37060034,0.7540483,0.61406875,2.211075,0.36402893,0.29382035,0.6224145,1.2577798,0.22716141,0.6021081,0.7944883,0.13458031,0.51256466,0.5818063,0.66789293,1.2828443,0.48479766,0.9497472,0.62133765,0.5266786,0.13809854,0.21952984,0.83614266,0.17769682,0.4489355,0.31435856,0.6644776,0.43140975,1.3227876,0.8459166,0.49014556,0.5214587,0.537269,0.5669049,0.34904438,0.43325657,0.7958672,0.13686743,1.1942079,0.1202423,0.93591464,1.7439381,0.5189322,0.86800736,0.7905343,0.24317363,0.6806242,1.5977452,1.0358281,1.2933791,0.34288698,0.5837604,0.10529432,0.6392104,0.63147646,0.74938846,1.0122213,1.7283453,1.6606755,0.732072,0.98234063
9.0	12.0	0.70434165,0.3760063,1.010879,0.39280134,0.26968217,0.40547258,1.4328724,0.42063165,0.37048095,0.6624614,0.851711,1.7330005,1.3619211,1.0920963,1.0495926,0.5314949,0.42645115,0.8875617,0.55246687,0.39220643,1.082167,0.4706605,0.60827076,0.65308046,0.4796641,0.92013794,0.8689432,0.4850857,0.65503156,1.2931029,0.3484344,1.7467474,0.36116332,0.34434402,0.24673757,0.8914786,1.1860652,2.1607535,0.5487507,0.51420194,0.399799,1.7958649,0.045922548,0.6698352,0.31209075,0.6918183,0.3290645,1.0789909,1.0289373,0.5396693,0.9186962,0.38305217,0.3892855,0.78046256,0.6035047,0.7248878,0.74622816,0.9294596,0.54774636,2.3479006,1.3115615,0.37586302,0.9804243,0.33611944,1.4084599,0.33853066,0.7699058,0.80422175,0.24452767,0.7475594,0.49232608,0.74420273,1.1154425,1.1091202,0.5902728,1.3659662,1.0615075,0.3793077,0.35680848,0.9871935,0.7937013,0.33617365,0.7800733,1.025671,1.0577185,0.79198176,0.47960854,0.4874792,1.6417376,0.47088766,0.6548413,0.7343084,0.41251916,0.89375746,0.844466,0.8267856,0.19831696,1.0749847,0.56098557,1.677433,1.2555687,0.8112338,0.6127115,0.33658016,0.38480562,0.3139158,0.22619832,0.84943825,1.4361053,1.2499044,0.86466813,0.4508918,0.8650152,0.93276405,1.3753142,0.62069035,1.2151065,1.5104029,1.7283236,0.9331279,0.7604743,0.65536517,0.50978965,0.57816905,0.3112635,0.11110312,0.8930814,0.60611117,0.63625014,0.66219634,0.8156731,1.0234506,0.5192615,2.3434877,1.4350903,0.8453377,0.8546207,0.86818075,0.48311096,0.3656777,0.23345447,0.13475329,1.5142968,0.19047502,1.2791569,0.7637526,0.1704765,0.79336786,0.7632884,0.43531138,0.7552048,0.9196584,0.23122215,1.894004,0.5169255,1.1430323,0.34302822,0.76452893,0.8051141,0.13151044,0.28194624,0.47142726,0.86889905,0.565552,0.485066,0.7536362,0.0,0.31798857,0.25398755,0.5762312,0.6658912,1.0832968,0.18017179,0.3490221,0.35299012,0.77328926,0.9227538,0.54860973,0.1461004,1.1531308,0.66683376,0.58457834,0.15268758,0.38653636,1.0683297,0.21382111,0.2921945,1.4746108,1.103912,0.9167127,0.91537565,1.3988492,0.606483,0.811434,0.5795361,1.6526116,1.4372157,1.1481972,1.6094155,0.958968,0.5495864,0.7110023,0.06204474,0.60585046,0.42620337,0.83109367,0.35016024,0.6036263,0.9384974,0.6859526,1.2877061,0.5102291,0.5843865,0.5748184,1.4833825,0.75894904,0.9468321,0.7694217,0.8482716,0.59363186,0.6502382,0.5596393,0.07722129,0.6710756,0.87651443,0.5200117,0.63956666,0.3740149,0.35155028,0.36087668,1.1170149,1.7056805,0.16235018,1.6595213,0.13474429,0.93397593,0.32502776,0.9501893,0.35251462,1.0096958,1.1013169,1.4100926,1.1711283,0.28694427,0.5762149,1.0653946,1.3479826,0.46793395,1.0829148,1.0893581,0.74821836,0.812633,0.66269624,0.53857803,0.16210222,0.84774894,1.6312232,0.8602184,0.84647113,1.6550055,1.9160955,0.51167345,0.94143325,0.968415,0.31918687,0.6411382,0.32247245,0.7120041,1.2857282,0.97339886,1.091569,1.0316138,0.9617618,0.8641088,1.5746098,0.9586371,0.30052972,1.151288,0.78697646,0.5623454,0.42501092,0.74127465,1.9818513,1.1174464,0.26091138,0.4410435,0.76391065,1.2354803,0.7022151,0.18076634,1.0499023,1.0305347,0.43993974,0.3595702,0.34254873,0.8982819,0.914405,0.5557557,0.30454153,0.5986731,0.45480072,0.7467244,0.6005062,1.4846728,0.057494283,0.11283094,0.17548686,0.23801866,0.35422838,1.1141154,0.4210638,1.4109707,1.7715665,0.7260658,0.81727004,0.41860005,1.2553349,0.70455277,0.94309694,1.2840822,0.4037965,1.1499568,0.251958,0.8240783,0.87922233,0.9377723,0.63501024,1.1802015,1.3940747,0.21226746,0.96969074,0.6477677,1.722182,1.311155,0.94823456,0.2806278,0.9157128,0.3925498,0.8873965,0.03660363,0.8654381,0.8026137,0.6237411,0.44993752,0.9822768,1.4620425,0.62904453,0.7230253,0.70621943,1.0152816,0.50671524,1.3322017,0.46779633,0.8724558,0.29869837,0.9559905,0.7706269,0.9928517,0.17490467,0.26457727,0.43679166,0.8292322,2.4372134,0.22251475,0.583495,0.32976913,1.8942108,0.26998913,0.7812233,0.46967494,0.09390786,1.2322559,0.9546477,0.7370168,1.6121945,0.42074326,0.7528766,0.33842796,0.23104167,0.079598606,0.18147576,1.0338888,0.36527497,0.11986211,0.5587773,0.6810443,0.0729253,1.2299428,0.2803594,0.7921387,0.75714034,0.45437646,0.276591,0.77604026,0.49370146,1.0389379,0.2971694,0.9807373,0.34848267,0.83228207,1.721534,0.72243273,0.43940574,0.5244801,0.43416968,0.33260953,1.349575,1.1401374,0.92101395,0.84407514,0.4811686,0.032182768,0.3426727,1.1724062,0.6741498,1.0625368,1.1111493,1.632117,0.5037296,0.80070657
12.0	15.0	0.7288754,0.5697061,0.9012267,0.2012716,0.2310602,0.4320252,1.0996473,0.3418821,0.45793593,0.823695,0.87804264,1.4768196,1.7381926,0.9911747,0.78066224,0.94401675,0.5313916,0.9047541,1.0394868,0.1337069,1.2312199,1.0460942,0.4172765,0.62274575,0.35601205,1.2746515,1.1782856,0.7481716,0.9394832,0.89043546,0.58942825,1.8946376,0.1956976,0.43369746,0.47735718,1.1974237,1.1415404,1.9885607,0.27549052,0.25638175,0.7403412,1.0799406,0.12345594,0.42298394,0.045575917,0.46504515,0.24380013,0.6098246,1.1530862,0.4796459,1.0650955,0.56739736,0.60888267,0.9136249,0.66926736,0.6297382,0.56561065,0.8575267,0.38669577,2.433644,1.3525172,0.47459662,0.802423,0.11447361,1.4990726,0.8850154,0.6261559,0.9374355,0.3854717,1.3892233,0.33147085,0.8756651,1.1843619,0.82058173,0.31053457,1.4108253,1.3709855,0.292014,0.6410972,0.6366136,0.86888933,0.2787255,1.0761831,0.89146537,1.2535697,0.671876,0.7832383,0.91050446,1.5824062,0.57569164,0.36709014,0.34682062,0.47217387,0.74842614,0.8847152,1.0035923,0.0826626,0.8203194,0.840362,1.7325923,1.2966167,0.88251513,0.51227736,0.35089487,0.88200366,0.7294175,0.70264155,1.3323252,1.142128,1.4045122,0.9302035,0.5890562,1.310887,0.8307942,1.1447372,0.6540086,0.91651905,1.607867,1.9909415,0.5626879,1.0474976,0.3578325,0.8525246,0.62785006,0.40923917,0.23643708,1.4019585,0.6539731,0.31978467,0.6970629,1.325952,1.6562498,0.64513147,2.765539,1.5846736,0.39924705,0.8308392,1.14641,0.6439174,0.18420932,0.46409076,0.006795533,1.4486887,0.31653583,1.0758173,0.63875973,0.16546428,0.6039335,0.9490078,0.7341081,0.8488559,0.7505734,0.27193484,1.8426228,0.3401979,1.2982318,0.6483709,0.9778503,0.73044574,0.079252705,0.07221371,0.34663707,0.6333354,0.8342508,0.95160663,0.8097287,0.0,0.22111267,0.27515116,0.36993396,1.0932229,0.57708496,0.21143204,0.25734133,0.59880126,0.43579182,0.33949938,0.49696553,0.11195812,2.08242,0.5967635,0.5486959,0.23027545,0.55074996,1.2892145,0.38443482,0.36712053,1.5213346,0.9188386,0.7370512,0.87285745,1.3436636,1.0224452,0.51664895,0.7133556,1.4664059,1.6592455,1.2104659,1.3547081,0.6878902,0.9329286,1.2149754,0.43790203,0.7625261,0.5336229,0.5093563,0.67733455,0.57191813,0.52901506,0.8698709,1.4286697,0.84718114,0.31661037,0.895007,1.8800415,0.98569447,0.8922445,0.93726575,1.3689489,0.5664241,0.8327598,0.7357598,0.24088362,0.3747807,0.572707,0.27872455,0.7959496,0.55409724,0.17445695,0.5492643,1.5003316,1.6014638,0.015777864,1.2928748,0.26215646,0.6027935,0.2981983,0.78971934,0.50852895,1.5033622,1.0281528,1.963237,1.177137,0.12269026,0.47811592,0.75410676,1.3877069,0.56068707,1.1989932,1.0984476,1.0455228,1.1229689,0.82266074,0.34173727,0.11749637,0.889595,1.7296553,0.86716425,1.1166513,1.3176291,1.5451864,0.50067765,1.3838191,1.3252707,0.07549015,0.5116068,0.30177838,0.9386417,1.295699,1.1623559,0.9252603,0.90951484,0.7714421,1.2217908,1.4704717,1.4074049,0.6105956,0.75324476,0.75386304,0.29383674,0.62351346,0.7860931,1.8667405,1.0970967,0.4829831,0.37625366,0.72452945,1.0562849,0.9999281,0.28607798,0.95761484,0.8405654,0.78653806,0.28811258,0.6814521,1.3113724,0.8887092,0.746339,0.56596833,0.4568125,0.52375877,0.58316654,0.6605498,1.3331158,0.013681889,0.3529647,0.5955818,0.049612194,0.24738371,1.5044539,0.58762497,0.76142496,1.5505952,0.5072308,0.95136535,0.65868104,0.8852826,0.792164,0.82829475,1.2745557,0.3267238,1.4837927,0.38162977,0.731929,1.2259548,1.2091889,0.61431915,0.75444645,0.9194703,0.015316181,1.4278276,0.34614933,1.6286037,1.3185287,1.0025672,0.38245755,0.8196468,0.32776615,0.8909252,0.2599951,0.5087935,1.051362,0.9151878,0.43393004,0.6370436,1.1952181,0.44253433,0.89130056,0.52547646,1.5697303,0.56914365,1.4964244,0.40833148,0.7009671,0.44669503,0.6115463,0.81968373,1.1664696,0.20220065,0.33334053,0.6006692,0.52405894,2.488441,0.5499736,0.12101941,0.71807927,0.93966246,0.42863387,0.8682985,0.6294979,0.1206944,0.7989072,0.94599336,0.73622096,1.6040149,0.3839337,0.6990319,0.39688334,0.5650688,0.20392233,0.21291685,0.6313427,0.36855167,0.31821692,0.4591183,0.780131,0.28681862,1.3584518,0.76723,0.74875647,0.41811815,0.6401334,0.50463146,0.41981855,0.51420784,0.88107294,0.07157707,1.2990723,0.33626974,0.71655107,1.9446211,0.32926455,1.0299051,0.7222065,0.18141392,0.7361717,1.3996003,1.0912799,1.1836594,0.56614155,0.44282806,0.2097908,0.53728396,0.6217288,0.9507551,0.8269325,1.393614,1.4498379,0.62759537,0.86200744
