Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Elaenia cristata,Plain-crested Elaenia,0.9206
6.0,9.0,Cardellina rubrifrons,Red-faced Warbler,0.1917
9.0,12.0,Elaenia cristata,Plain-crested Elaenia,0.9608
9.0,12.0,Cyanocorax violaceus,Violaceous Jay,0.1692
12.0,15.0,Patagioenas fasciata,Band-tailed Pigeon,0.4863
24.0,27.0,Emberiza melanocephala,Black-headed Bunting,0.5701
