Start (s),End (s),Scientific name,Common name,Confidence
3.0,6.0,Ornithion inerme,White-lored Tyrannulet,0.3035
12.0,15.0,Megarynchus pitangua,Boat-billed Flycatcher,0.1664
15.0,18.0,Cercomacra cinerascens,Gray Antbird,0.9739
18.0,21.0,Megarynchus pitangua,Boat-billed Flycatcher,0.1649
21.0,24.0,Cercomacra cinerascens,Gray Antbird,0.4136
21.0,24.0,Myrmotherula brachyura,Pygmy Antwren,0.3506
24.0,27.0,Megarynchus pitangua,Boat-billed Flycatcher,0.1639
27.0,30.0,Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,0.1302
30.0,33.0,Myrmotherula brachyura,Pygmy Antwren,0.1642
30.0,33.0,Pipile cumanensis,Blue-throated Piping-Guan,0.1173
36.0,39.0,Cercomacra cinerascens,Gray Antbird,0.5530
36.0,39.0,Piprites chloris,Wing-barred Piprites,0.2699
36.0,39.0,Sciaphylax hemimelaena,Chestnut-tailed Antbird,0.1528
36.0,39.0,Thamnophilus schistaceus,Plain-winged Antshrike,0.1376
36.0,39.0,Formicarius colma,Rufous-capped Antthrush,0.1256
