Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Euphonia chrysopasta,Golden-bellied Euphonia,0.9997
3.0,6.0,Euphonia chrysopasta,Golden-bellied Euphonia,1.0000
12.0,15.0,Euphonia chrysopasta,Golden-bellied Euphonia,0.9999
15.0,18.0,Hylophilus flavipes,Scrub Greenlet,0.4149
15.0,18.0,Myrmotherula brachyura,Pygmy Antwren,0.1820
18.0,21.0,Euphonia chrysopasta,Golden-bellied Euphonia,0.9999
21.0,24.0,Daptrius ater,Black Caracara,0.1714
21.0,24.0,Ara severus,Chestnut-fronted Macaw,0.1160
24.0,27.0,Euphonia chrysopasta,Golden-bellied Euphonia,0.9999
27.0,30.0,Myrmotherula brachyura,Pygmy Antwren,0.5875
30.0,33.0,Euphonia chrysopasta,Golden-bellied Euphonia,0.9978
33.0,36.0,Daptrius ater,Black Caracara,0.1578
36.0,39.0,Hylophilus flavipes,Scrub Greenlet,0.2229
39.0,42.0,Euphonia chrysopasta,Golden-bellied Euphonia,0.9993
42.0,45.0,Euphonia chrysopasta,Golden-bellied Euphonia,0.1714
42.0,45.0,Pyrrhomyias cinnamomeus,Cinnamon Flycatcher,0.1279
45.0,48.0,Euphonia chrysopasta,Golden-bellied Euphonia,0.9998
48.0,51.0,Euphonia chrysopasta,Golden-bellied Euphonia,0.9985
51.0,54.0,Myrmotherula brachyura,Pygmy Antwren,0.3549
54.0,57.0,Euphonia chrysopasta,Golden-bellied Euphonia,0.9993
57.0,60.0,Myrmotherula brachyura,Pygmy Antwren,0.2587
63.0,66.0,Euphonia chrysopasta,Golden-bellied Euphonia,0.9990
69.0,72.0,Euphonia chrysopasta,Golden-bellied Euphonia,0.9989
72.0,75.0,Euphonia chrysopasta,Golden-bellied Euphonia,0.9918
72.0,75.0,Euphonia minuta,White-vented Euphonia,0.9060
75.0,78.0,Euphonia chrysopasta,Golden-bellied Euphonia,0.9960
78.0,81.0,Coccycua minuta,Little Cuckoo,0.1167
78.0,81.0,Nasica longirostris,Long-billed Woodcreeper,0.1071
81.0,84.0,Euphonia chrysopasta,Golden-bellied Euphonia,0.9511
84.0,87.0,Euphonia chrysopasta,Golden-bellied Euphonia,0.9732
87.0,90.0,Euphonia chrysopasta,Golden-bellied Euphonia,0.9976
93.0,96.0,Euphonia chrysopasta,Golden-bellied Euphonia,0.9997
99.0,102.0,Euphonia chrysopasta,Golden-bellied Euphonia,0.9965
102.0,105.0,Cyanoloxia cyanoides,Blue-black Grosbeak,0.3705
102.0,105.0,Euphonia chrysopasta,Golden-bellied Euphonia,0.2461
108.0,111.0,Euphonia chrysopasta,Golden-bellied Euphonia,0.5289
108.0,111.0,Euphonia minuta,White-vented Euphonia,0.2854
108.0,111.0,Hemithraupis guira,Guira Tanager,0.2301
