Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Galbula dea,Paradise Jacamar,0.2001
6.0,9.0,Galbula dea,Paradise Jacamar,0.4545
12.0,15.0,Galbula dea,Paradise Jacamar,0.5490
18.0,21.0,Galbula dea,Paradise Jacamar,0.3171
21.0,24.0,Thamnophilus murinus,Mouse-colored Antshrike,0.1204
21.0,24.0,Galbula dea,Paradise Jacamar,0.1030
30.0,33.0,Micrastur ruficollis,Barred Forest-Falcon,0.6472
30.0,33.0,Thamnophilus murinus,Mouse-colored Antshrike,0.1081
39.0,42.0,Galbula dea,Paradise Jacamar,0.1026
42.0,45.0,Galbula dea,Paradise Jacamar,0.7065
45.0,48.0,Galbula dea,Paradise Jacamar,0.3955
51.0,54.0,Galbula dea,Paradise Jacamar,0.7243
54.0,57.0,Galbula dea,Paradise Jacamar,0.1196
54.0,57.0,Dryobates arizonae,Arizona Woodpecker,0.1051
