Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Trogon curucui,Blue-crowned Trogon,0.9950
3.0,6.0,Trogon curucui,Blue-crowned Trogon,0.9393
12.0,15.0,Trogon curucui,Blue-crowned Trogon,0.9800
15.0,18.0,Trogon curucui,Blue-crowned Trogon,0.9274
18.0,21.0,Trogon curucui,Blue-crowned Trogon,0.9744
21.0,24.0,Psarocolius bifasciatus,Olive Oropendola,0.3257
27.0,30.0,Trogon curucui,Blue-crowned Trogon,0.2019
30.0,33.0,Trogon curucui,Blue-crowned Trogon,0.9923
33.0,36.0,Trogon curucui,Blue-crowned Trogon,0.9968
36.0,39.0,Trogon curucui,Blue-crowned Trogon,0.9965
39.0,42.0,Psarocolius bifasciatus,Olive Oropendola,0.5720
39.0,42.0,Querula purpurata,Purple-throated Fruitcrow,0.1987
42.0,45.0,Crypturellus undulatus,Undulated Tinamou,0.1924
42.0,45.0,Amazona ochrocephala,Yellow-crowned Parrot,0.1210
42.0,45.0,Sclateria naevia,Silvered Antbird,0.1168
45.0,48.0,Trogon curucui,Blue-crowned Trogon,0.9656
48.0,51.0,Trogon curucui,Blue-crowned Trogon,0.8972
