Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Pteroglossus castanotis,Chestnut-eared Aracari,0.9779
3.0,6.0,Pteroglossus castanotis,Chestnut-eared Aracari,0.9986
6.0,9.0,Pteroglossus castanotis,Chestnut-eared Aracari,0.9986
9.0,12.0,Pteroglossus castanotis,Chestnut-eared Aracari,0.9883
12.0,15.0,Pteroglossus castanotis,Chestnut-eared Aracari,0.9891
15.0,18.0,Pteroglossus castanotis,Chestnut-eared Aracari,0.9986
18.0,21.0,Pteroglossus castanotis,Chestnut-eared Aracari,0.9977
21.0,24.0,Pteroglossus castanotis,Chestnut-eared Aracari,0.9994
24.0,27.0,Pteroglossus castanotis,Chestnut-eared Aracari,0.9985
