Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Eucometis penicillata,Gray-headed Tanager,1.0000
3.0,6.0,Eucometis penicillata,Gray-headed Tanager,0.9991
6.0,9.0,Eucometis penicillata,Gray-headed Tanager,0.9888
9.0,12.0,Tyranneutes stolzmanni,Dwarf Tyrant-Manakin,0.2896
15.0,18.0,Eucometis penicillata,Gray-headed Tanager,0.7958
18.0,21.0,Eucometis penicillata,Gray-headed Tanager,0.9966
21.0,24.0,Eucometis penicillata,Gray-headed Tanager,0.6719
21.0,24.0,Leptopogon superciliaris,Slaty-capped Flycatcher,0.1505
