Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Spizaetus tyrannus,Black Hawk-Eagle,0.9921
3.0,6.0,Spizaetus tyrannus,Black Hawk-Eagle,0.9800
6.0,9.0,Spizaetus tyrannus,Black Hawk-Eagle,0.9722
9.0,12.0,Spizaetus tyrannus,Black Hawk-Eagle,0.9794
