Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Turdus albicollis,White-necked Thrush,0.9984
3.0,6.0,Turdus albicollis,White-necked Thrush,0.9731
6.0,9.0,Turdus albicollis,White-necked Thrush,0.9976
9.0,12.0,Schiffornis virescens,Greenish Schiffornis,0.1963
9.0,12.0,Trichothraupis melanops,Black-goggled Tanager,0.1713
9.0,12.0,Pyriglena leucoptera,White-shouldered Fire-eye,0.1702
9.0,12.0,Phaethornis eurynome,Scale-throated Hermit,0.1592
9.0,12.0,Corythopis delalandi,Southern Antpipit,0.1126
12.0,15.0,Turdus albicollis,White-necked Thrush,0.5122
12.0,15.0,Saltator similis,Green-winged Saltator,0.1532
15.0,18.0,Turdus albicollis,White-necked Thrush,0.9969
18.0,21.0,Turdus albicollis,White-necked Thrush,0.9734
21.0,24.0,Saltator similis,Green-winged Saltator,0.5015
24.0,27.0,Turdus albicollis,White-necked Thrush,0.9992
27.0,30.0,Turdus albicollis,White-necked Thrush,0.9893
30.0,33.0,Herpsilochmus atricapillus,Black-capped Antwren,0.3528
30.0,33.0,Herpsilochmus rufimarginatus,Rufous-margined Antwren,0.2932
30.0,33.0,Pyriglena leucoptera,White-shouldered Fire-eye,0.1278
30.0,33.0,Saltator similis,Green-winged Saltator,0.1051
36.0,39.0,Turdus albicollis,White-necked Thrush,0.9869
39.0,42.0,Turdus albicollis,White-necked Thrush,0.9519
42.0,45.0,Turdus albicollis,White-necked Thrush,0.7853
45.0,48.0,Saltator similis,Green-winged Saltator,0.5140
48.0,51.0,Turdus albicollis,White-necked Thrush,0.9982
51.0,54.0,Turdus albicollis,White-necked Thrush,0.9983
54.0,57.0,Turdus albicollis,White-necked Thrush,0.9720
54.0,57.0,Saltator similis,Green-winged Saltator,0.2832
57.0,60.0,Turdus albicollis,White-necked Thrush,0.9989
60.0,63.0,Turdus albicollis,White-necked Thrush,0.9974
63.0,66.0,Saltator similis,Green-winged Saltator,0.3950
63.0,66.0,Poecilotriccus plumbeiceps,Ochre-faced Tody-Flycatcher,0.1268
66.0,69.0,Turdus albicollis,White-necked Thrush,0.7264
69.0,72.0,Turdus albicollis,White-necked Thrush,0.8224
69.0,72.0,Dendrocolaptes platyrostris,Planalto Woodcreeper,0.1227
