Start (s),End (s),Scientific name,Common name,Confidence
3.0,6.0,Nyctibius griseus,Common Potoo,0.5934
6.0,9.0,Lipaugus vociferans,Screaming Piha,0.2365
6.0,9.0,Megascops asio,Eastern Screech-Owl,0.1086
9.0,12.0,Lipaugus vociferans,Screaming Piha,0.4593
9.0,12.0,Gavia immer,Common Loon,0.1025
12.0,15.0,Lipaugus vociferans,Screaming Piha,0.1656
12.0,15.0,Nyctibius griseus,Common Potoo,0.1557
15.0,18.0,Nyctibius griseus,Common Potoo,0.7701
15.0,18.0,Lipaugus vociferans,Screaming Piha,0.3524
18.0,21.0,Nyctibius griseus,Common Potoo,0.8304
21.0,24.0,Nyctibius griseus,Common Potoo,0.9697
24.0,27.0,Nyctibius griseus,Common Potoo,0.1605
27.0,30.0,Nyctibius griseus,Common Potoo,0.6344
27.0,30.0,Campylorhynchus turdinus,Thrush-like Wren,0.1376
