Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Campylorhynchus turdinus,Thrush-like Wren,0.9964
3.0,6.0,Campylorhynchus turdinus,Thrush-like Wren,0.9996
6.0,9.0,Myiopagis viridicata,Greenish Elaenia,0.1132
12.0,15.0,Campylorhynchus turdinus,Thrush-like Wren,0.4451
15.0,18.0,Campylorhynchus turdinus,Thrush-like Wren,0.9464
18.0,21.0,Troglodytes aedon,House Wren,0.1492
