Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Contopus cooperi,Olive-sided Flycatcher,0.9941
0,3.0,Troglodytes aedon,House Wren,0.1738
6.0,9.0,Contopus cooperi,Olive-sided Flycatcher,0.9622
9.0,12.0,Contopus cooperi,Olive-sided Flycatcher,0.9999
15.0,18.0,Contopus cooperi,Olive-sided Flycatcher,0.9922
