Start (s),End (s),Scientific name,Common name,Confidence
6.0,9.0,Zentrygon frenata,White-throated Quail-Dove,0.1633
6.0,9.0,Grallaria guatimalensis,Scaled Antpitta,0.1323
9.0,12.0,Zentrygon frenata,White-throated Quail-Dove,0.1091
33.0,36.0,Pipreola riefferii,Green-and-black Fruiteater,0.1366
48.0,51.0,Myadestes melanops,Black-faced Solitaire,0.4448
48.0,51.0,Catharus fuscater,Slaty-backed Nightingale-Thrush,0.1621
54.0,57.0,Catharus fuscater,Slaty-backed Nightingale-Thrush,0.1466
54.0,57.0,Pipreola riefferii,Green-and-black Fruiteater,0.1403
54.0,57.0,Grallaria ruficapilla,Chestnut-crowned Antpitta,0.1254
60.0,63.0,Campephilus melanoleucos,Crimson-crested Woodpecker,0.8236
60.0,63.0,Rhipidura rufifrons,Rufous Fantail,0.6037
90.0,93.0,Dicrurus bracteatus,Spangled Drongo,0.1710
102.0,105.0,Contopus virens,Eastern Wood-Pewee,0.2115
102.0,105.0,Myiarchus crinitus,Great Crested Flycatcher,0.1454
