Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Aegithina tiphia,Common Iora,0.6698
0,3.0,Antilophia galeata,Helmeted Manakin,0.4352
15.0,18.0,Antilophia galeata,Helmeted Manakin,0.2908
18.0,21.0,Antilophia galeata,Helmeted Manakin,0.2756
