Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Dryobates scalaris,Ladder-backed Woodpecker,0.4837
12.0,15.0,Phylloscopus trochiloides,Greenish Warbler,0.6855
21.0,24.0,Synallaxis albescens,Pale-breasted Spinetail,0.6886
24.0,27.0,Dryobates pubescens,Downy Woodpecker,0.1637
