Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,0.3030
0,3.0,Pluvialis apricaria,European Golden-Plover,0.2553
3.0,6.0,Turdus leucomelas,Pale-breasted Thrush,0.1803
6.0,9.0,Tringa nebularia,Common Greenshank,0.1839
9.0,12.0,Fulmarus glacialis,Northern Fulmar,0.2592
9.0,12.0,Charadrius melodus,Piping Plover,0.2011
