Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Thalasseus sandvicensis,Sandwich Tern,0.3737
0,3.0,Parus major,Great Tit,0.1229
0,3.0,Leucophaeus atricilla,Laughing Gull,0.1151
6.0,9.0,Luscinia luscinia,Thrush Nightingale,0.8343
6.0,9.0,Thalasseus bergii,Great Crested Tern,0.2927
6.0,9.0,Thalasseus maximus,Royal Tern,0.1350
6.0,9.0,Mimus saturninus,Chalk-browed Mockingbird,0.1222
