IN FILE,MANUAL ID,OFFSET,DURATION,Confidence
20210820_151000_OFF3.csv,California Towhee,0.0,3.0,0.10339332
20210820_151000_OFF3.csv,Grasshopper Sparrow,12.0,3.0,0.5151787999999999
20210822_013000_OFF4.csv,California Towhee,3.0,3.0,0.77594703
20210824_161000_OFF3.csv,American Flamingo,0.0,3.0,0.28565392
20210813_131000_OFF0.csv,Wood Sandpiper,0.0,3.0,0.107723765
20210813_131000_OFF0.csv,Reed Parrotbill,9.0,3.0,0.11216926599999999
20210813_131000_OFF0.csv,Wood Sandpiper,9.0,3.0,0.10515885
20210813_131000_OFF0.csv,Anna's Hummingbird,18.0,3.0,0.26917803
20210813_131000_OFF0.csv,Superciliaried Hemispingus,18.0,3.0,0.14721908
20210813_131000_OFF0.csv,Wrentit,30.0,3.0,0.27795658
20210813_131000_OFF0.csv,Reed Parrotbill,30.0,3.0,0.11132498
20210815_013000_OFF6.csv,California Thrasher,9.0,3.0,0.6205866
20210815_013000_OFF6.csv,California Thrasher,12.0,3.0,0.26638252
20210815_013000_OFF6.csv,LeConte's Thrasher,12.0,3.0,0.23458320000000005
20210815_013000_OFF6.csv,White-breasted Nuthatch,15.0,3.0,0.50012076
20210815_013000_OFF6.csv,Parana Antwren,18.0,3.0,0.53603315
20210815_013000_OFF6.csv,California Thrasher,27.0,3.0,0.29458597
20210815_013000_OFF6.csv,California Thrasher,30.0,3.0,0.2330766
20210815_013000_OFF6.csv,Sage Thrasher,42.0,3.0,0.128032
20210815_013000_OFF6.csv,California Thrasher,42.0,3.0,0.10308996599999999
20210815_013000_OFF6.csv,California Thrasher,45.0,3.0,0.5551634
20210815_013000_OFF6.csv,Ring Ouzel,45.0,3.0,0.10700733
20210815_013000_OFF6.csv,California Towhee,48.0,3.0,0.7767010999999999
20210815_013000_OFF6.csv,California Thrasher,54.0,3.0,0.7946831
20210815_013000_OFF6.csv,Southern Anteater-Chat,54.0,3.0,0.122846834
20210815_013000_OFF6.csv,LeConte's Thrasher,54.0,3.0,0.10133276
20210816_030000_OFF0.csv,Common Poorwill,36.0,3.0,0.10858816
20210811_140000_OTH1.csv,Anna's Hummingbird,27.0,3.0,0.18608159
20210811_140000_OTH1.csv,California Towhee,48.0,3.0,0.1891226
20210811_140000_OTH1.csv,California Towhee,51.0,3.0,0.19986695
20210819_155000_OTH1.csv,California Gnatcatcher,42.0,3.0,0.13727964
