,FOLDER,IN FILE,CLIP LENGTH,CHANNEL,OFFSET,DURATION,SAMPLE RATE,MANUAL ID,CONFIDENCE
0,.\cosmos_random_sample_processing\,XC100864 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis.mp3,9.299604166666667,0,0.0,3.0,48000,Zonotrichia capensis,0.9813162088394165
1,.\cosmos_random_sample_processing\,XC100864 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis.mp3,9.299604166666667,0,3.0,3.0,48000,Zonotrichia capensis,0.45512887835502625
2,.\cosmos_random_sample_processing\,XC100864 - Rufous-collared Sparrow - Zonotrichia capensis costaricensis.mp3,9.299604166666667,0,6.0,3.0,48000,Zonotrichia capensis,0.958480954170227
3,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,0.0,3.0,48000,Mimus gilvus,0.13050265610218048
4,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,3.0,3.0,48000,Mimus gilvus,0.06642914563417435
5,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,6.0,3.0,48000,Turdus leucomelas,0.8028431534767151
6,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,9.0,3.0,48000,Turdus leucomelas,0.33895325660705566
7,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,12.0,3.0,48000,Turdus leucomelas,0.6938396096229553
8,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,15.0,3.0,48000,Turdus leucomelas,0.5230491757392883
9,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,18.0,3.0,48000,Turdus leucomelas,0.48026543855667114
10,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,21.0,3.0,48000,Turdus leucomelas,0.4592881202697754
11,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,24.0,3.0,48000,Turdus leucomelas,0.10852235555648804
12,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,27.0,3.0,48000,Turdus leucomelas,0.6040620803833008
13,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,30.0,3.0,48000,Turdus leucomelas,0.48010000586509705
14,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,33.0,3.0,48000,Turdus leucomelas,0.9208837151527405
15,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,36.0,3.0,48000,Turdus leucomelas,0.3485713303089142
16,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,39.0,3.0,48000,Turdus leucomelas,0.4664737284183502
17,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,42.0,3.0,48000,Turdus leucomelas,0.566153883934021
18,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,45.0,3.0,48000,Turdus leucomelas,0.4343683123588562
19,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,48.0,3.0,48000,Turdus leucomelas,0.47034722566604614
20,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,51.0,3.0,48000,Turdus grayi,0.634511411190033
21,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,54.0,3.0,48000,Ianthocincla treacheri,0.09680291265249252
22,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,57.0,3.0,48000,Turdus leucomelas,0.5156838297843933
23,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,60.0,3.0,48000,Turdus leucomelas,0.5380948185920715
24,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,63.0,3.0,48000,Turdus leucomelas,0.8513344526290894
25,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,66.0,3.0,48000,Turdus leucomelas,0.6716706156730652
26,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,69.0,3.0,48000,Turdus leucomelas,0.8788802623748779
27,.\cosmos_random_sample_processing\,XC101469 - Pale-breasted Thrush - Turdus leucomelas.mp3,137.37797916666668,0,72.0,3.0,48000,Tchagra senegalus,0.12222723662853241
